Index	Level	Language	Content	Sentence	Errors	Erroneous_words	Comment
12	B1	Frans	Beste Irena, Ik heb je mail met veel aandacht gelezen.  Dat is inderdaad beter dat je niet Kim sport te doen dwingt. Het verplicht sport te doen is een negatieve ervaring voor haar. Dus het risico is dat de sport altijd slecht is.Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen. In onze leven kunnen we altijd meer beoefenen, bij voorbeeld stappen klimmen, lopen of fietsen, en zo voort.  Je kan met computerspellen proberen. Op computerspellen is er gametjes waar je kan dansen and fitnessen.Ik denk dat is ook een goed idee een fitness coach te zien. Het is beter in een kleine sportzaal. En "familie" fitnessclub met vriendelijk mensen.Dat werked wel voor me als het moeilijk schermenclub vinden was. Veel success met jouw dochter. Met vriendelijk groeten, Maud	Dat werked wel voor me als het moeilijk schermenclub vinden was.	Dat werked (S) wel voor me als (W)  het moeilijk  (√) schermenclub (S)  (P)  (√)  vinden was (P)		
14	B1+	Spaans	de verstandhouding : om een goede verstandhouding te hebben met onze buren proberen wij altijd goedendag te zeggen.de echtscheiding : Na veel jaren van een slechte relatie hebben zij beslissen om te echtscheiding. de ouderdom : Ik zou mijn ouderdom in een kleine huis in een South van Chile willen wonen. de zwangerschap : De zwangerschap van mijn eerste dochter was zo fantastisch dat ik heb beslissen een grote gezin te hebben. Dat heb geduurd tot mijn tweede en laste zwangerschap. de minachting : Zo veel manifestatie tegen de racisme maar er zijn nog altijd een grote aantal mensen die minachting hebben voor de mensen met een andere huidskleur.het bruidspaar : Zij waren voor twee jaar bruidspaar  maar in de laaste moment hebben zij gebroken zij relatie op. het zakgeld : Wat vind je om zakgeld te gebben aan de kinderen? Waardevol : De periode van mijn kindertijd was heel waardevol. Ik heb zo mooie herinnering. de holebi : De mensen die wonen in dorpen zijn zo conservatief. Zij hebben minachting voor holibi en zij kunnen niet aanvaarden dat die mensen een kindje kunnen adopteren.  Er is een word voor die soort van mentaliteit: pajotolandmentaliteit, dorpmentaliteit, ..?	De mensen die wonen in dorpen zijn zo conservatief.	de holebi : De mensen die wonen  (P) in dorpen zijn zo conservatief	wonen	bijzin
15	B2	Chinees	Ik studeer Nederlands omdat ik meer over de politiek, de geschiedenis en de cultuur van België en Nederland wil leren. Het is belangrijk voor mij als historicus dat ik documenten in diverse Europese talen kan lezen en onderzoeken. Op mij werk spreek ik meestal Engels. Op dit moment is het niet noodzakelijk om het Nederlands te gebruiken, maar ik wens dat ik dat kan. Hopelijk in de nabije toekomst kan ik ook met mijn collega's in Nederlands discussies voeren of gewoon babbelen. Ik heb me voor de zomercursus ingeschreven want ik heb geen plan om naar het buitenland te reizen wegens corona. De cursus lijkt een goede opportuniteit om mijn Nederlands zo snel mogelijk te verbeteren. Volgens mij is Nederlands niet gemakkelijk, vooral de spreektaal. Er zijn vele uitspraken in Nederlands die bestaan niet in Aziatische talen. Daardoor vind ik soms moeilijk om enkele woorden op de juiste manier te zeggen. In vergelijking met uitspraak, vind ik grammatica een beetje gemakkelijker (maar het is nog steeds moeilijk). Ik heb geen bepaald doelstelling voor de zomercursus. Ik hoop alleen mijn algemene kennis over de taal te vergroten. Mijn favoriete Nederlandse woord is 'nieuwsgierig'. Het is eenvoudig maar effectief. Je krijgt altijds een duidelijk beeld in je hoofd wanneer je het woord gebruikt.	Er zijn vele uitspraken in Nederlands die bestaan niet in Aziatische talen.	Er zijn vele uitspraken (W)  in  (√) Nederlands die bestaan (P)  niet in Aziatische talen	bestaan	In een bijzin staan alle werkwoorden in de eindgroep.
16	B1+	Russisch	Azeddine El Bastani bracht een interessant en belangrijk onderwerp ter sprake dat niet vaak wordt besproken in de moderne samenleving. Iedereen kan fouten maken en het is volgens mij belangrijk dat iedereen recht heeft op een tweede kans. Het is een goede vraag over hoe we deze mensen kunnen helpen, dus laat me proberen over deze thema na te denken.   Ten eerste geloof ik niet dat iemand die in de gevangenis zit slecht en gewelddadig is, maar als ze gedetineerden worden kunnen ze hun mensheid verliezen. Ik heb gehoord dat het leven in de cellen heel verschrikkelijk is en er veel ruzies zijn. Ondanks het feit dat gevangenen veel activiteiten in gevangenissen hebben, zoals schoonmaken, is hun leven doelloos en hebben ze niets om naar te streven. Op het moment dat ze vrijgelaten worden hebben ze geen flauw idee van het normaal leven en bij gevolg komen ze naar de gevangenis terug. Het is dus een goed idee om voor hun opleiding te zorgen zodat ze na de cel een nieuw leven kunnen starten.    Ten tweede is het beter voor iedereen als de ex-gevangenen niet hervallen, omdat gevangenissen niet overvol zullen zijn, omstandigheden beter zullen zijn en het gevangenisleven minder zal kosten aan de maatschappij. Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek. Volgens mij zouden de moordenaars en verkrachters tot levenslang moeten worden veroordeeld omdat deze mensen niet normaal zijn.     Ten derde denk ik dat enkele overtredingen niet zo slecht zijn en mensen andere straffen moeten hebben maar geen gevangenis. Bijvoorbeeld als je een computer in een winkel hebt gestolen, dan moet je een vergoeding betalen en correctionele werk doen. Als je de verkeersregels overtreedt, moet je jouw rijbewijs verliezen.     In conclusie wil ik zeggen dat als je geen persoon pijn doet, schuldig pleitte en beloofd te verbeteren, dan zou je niet tot gevangenisstraf moeten worden veroordeeld.	Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek.	Ik wil verduidelijken dat ik  (√) over de mensen die kleine misdaden hebben gepleegd spreek (P)	spreek	alleen spreek over ...
17	B1	Spaans	Het is heel moeilijk om een stad te kiezen. Ik vind dat er voordelen en nadelen zijn in elke plaats, niet alleen met kunst, maar ook in de steden. Ten eerste, vind ik dat de website van Antwerpen niet zo compleet is. Maar de beste ding als je Antwerpen bezoek, is de mogelijkheid om de app te gebruiken. De app is door het stadhuis gemaakt en met ze kan je meer informatie luisteren over elke bezienswaardigheid. Dat is heel practisch omdat je alle informatie kan hebben in jouw gsm en je hebt geen nodig voor papieren krijgen (dit is ook beter voor het milieu). Ten tweede, heeft de website van Gent meer informatie over de musea. Hoewel het centrum van Gent ouderwets stijl heeft, zijn er veel moderne musea in de stad. De website geeft de informatie over verschillende plaatsen waar je kunst kan genieten: streetart, kunstgaleries, industriemuseum, educatieve tuin... Met deze website kan je jouw bezoek plannen voordat je naar Gent komt.  Ten slotte, raad ik een bezoek aan allerbei steden. Maar ik denk dat Gent het interessantst is tussen de twee steden. Ik vind dat de combinatie tegen ouderwets bouwen en moderne kunst heel interessant is. Als je op vakantie wil gaan en je van kunst houd, zou ik een trip naar Gent planeren.	Dat is heel practisch omdat je alle informatie kan hebben in jouw gsm en je hebt geen nodig voor papieren krijgen (dit is ook beter voor het milieu).	Dat is heel practisch (S)  omdat je alle informatie kan hebben in (W)  jouw gsm en je hebt geen nodig  (P) voor (F)  papieren krijgen (F)  (dit is ook beter voor het milieu)	nodig	
18	A2	Turks	Beste Ik heet Asel. Ik ben 18 jaar oud en dit jaar heb ik de middelbare school afgestudeerd. Mijn vader woont in Bëlgie al twee en half jaar. Ik, mijn zus, mijn broer en mijn moeder zijn zes maanden geleden naar dit land verhuisd om bij mijn vader te wonen. Nu woon ik met mijn gezin. Ik ben afgestudeerd aan de muziekacademie toen ik was op middelbare school. Ik speel 'ney' die een traditioneel Turks muziekinstrument. Ik speel ook graag ukelele. Muziek is mijn lievelingste hobby. Ik wil mezelf verbeteren in muziek. Een van mijn favoriete activiteit is reizen. Als het mogelijk is wil ik heel veel landen zien. Voor nu heb ik naar Nederland, Bosnië en een deel van België bezocht. België is een multicultureel land. Ik hou ervan. Ik ben blij omdat ik in België studeer. Mijn volgende doel is om goed Nederlands te leren en aan de universiteit te beginnen. Met Vriendelijke Groetjes	Mijn vader woont in Bëlgie al twee en half jaar.	Mijn vader woont in Bëlgie  (S) al twee en half jaar (S)  (P)		
19	A2	Turks	Beste Ik heet Asel. Ik ben 18 jaar oud en dit jaar heb ik de middelbare school afgestudeerd. Mijn vader woont in Bëlgie al twee en half jaar. Ik, mijn zus, mijn broer en mijn moeder zijn zes maanden geleden naar dit land verhuisd om bij mijn vader te wonen. Nu woon ik met mijn gezin. Ik ben afgestudeerd aan de muziekacademie toen ik was op middelbare school. Ik speel 'ney' die een traditioneel Turks muziekinstrument. Ik speel ook graag ukelele. Muziek is mijn lievelingste hobby. Ik wil mezelf verbeteren in muziek. Een van mijn favoriete activiteit is reizen. Als het mogelijk is wil ik heel veel landen zien. Voor nu heb ik naar Nederland, Bosnië en een deel van België bezocht. België is een multicultureel land. Ik hou ervan. Ik ben blij omdat ik in België studeer. Mijn volgende doel is om goed Nederlands te leren en aan de universiteit te beginnen. Met Vriendelijke Groetjes	Ik ben afgestudeerd aan de muziekacademie toen ik was op middelbare school.	Ik ben afgestudeerd aan de muziekacademie toen ik was  (P)  (W) op middelbare school	was	
20	A2	Turks	Beste Deelnemers, Ik ben Dilek en uw gids. Nu vertel ik je het plan van de dagtrip. Wij gaan om 07:00 uur op zondag vertrekken naar Brussel. Ons ontmoetingspunt is Halve Maan in Diest. De bus die we voor dagtrip hebben gehuurd, zal ons ophalen. Hiervoor moeten jullie in de bus 20 euro contant  betalen. Eerst gaan wij naar Atomium. Voor de dagtrip moeten jullie  een ticket kopen om te betreden. De ticketten zijn 29 euro per persoon. Als jullie een museumkaart hebben, dan verminderen jullie het bedrag dat u moet betalen. Daarna gaan wij aan Minieuropa, Strip Museum en Manekenpis bezoeken. ik heb voor die museum de ticketten gekocht. Daaroom moeten jullie naar onderstaand rekeningnummer 40 euro overschrijven. Als jullie uw eigen luch meeneemt, dan geven jullie minder uit. U heeft 3 uur winkeltijd. Om 21:00 uur gaan wij vertrekken van Brussel. Ik ben een vrijwillege leider. Daaroom heeft u niet extra te betalen voor een gids. Jullie moeten de onderstaand inschrijvenformulier invullen om die dagtrip deel te nemen zodat jullie zich  kunnen inschrijven.  Met vriendelijke groeten  Dilek De rekening nummer: BE12345678965	Wij gaan om 07:00 uur op zondag vertrekken naar Brussel.	Wij gaan om 07:00 uur op zondag  (P) vertrekken naar Brussel	op zondag	Noteer eerste de generale tijd en dan de specifieke tijd
21	A2+	Catalaans	Beste Katelijne Ik ben Laia en ik kom uit Catalonië, maar ik werk in Leuven. Ik samenwoon met mijn vriend Arnau in Heverlee, naast het Abdij van Park. Wij wandelen er heel graag! Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken. Dit is een Catalaanse traditionele activiteit, maar niet alle Catalanen kunnen het maken. Ik werk aan de universiteit als postdoctoraal onderzoeker in vasculaire biologie. Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken. Ik hoop dat ik na niveau 2 vloeiende conversaties in het Nederlands can hebben. Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren! Dank je wel voor de lessen! Groetjes, Tot mandaag! Laia	Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken.	Wij wandelen er heel graag! Éen ding dat mij uniek maakt is dat ik kan  (P) op mensen klimmen, en we kunnen samen menselijke torens maken	kan	katapult
22	A2+	Catalaans	Beste Katelijne Ik ben Laia en ik kom uit Catalonië, maar ik werk in Leuven. Ik samenwoon met mijn vriend Arnau in Heverlee, naast het Abdij van Park. Wij wandelen er heel graag! Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken. Dit is een Catalaanse traditionele activiteit, maar niet alle Catalanen kunnen het maken. Ik werk aan de universiteit als postdoctoraal onderzoeker in vasculaire biologie. Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken. Ik hoop dat ik na niveau 2 vloeiende conversaties in het Nederlands can hebben. Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren! Dank je wel voor de lessen! Groetjes, Tot mandaag! Laia	Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken.	Ik studeer het Nederlands omdat ik leer (P)  graag talen (of ik talen weet graag?) (F) , maar ook omdat mijn collega’s op het werk het (F)  Nederlands veel (P)  spreken	leer	katapult
24	A2+	Catalaans	Beste Katelijne Ik ben Laia en ik kom uit Catalonië, maar ik werk in Leuven. Ik samenwoon met mijn vriend Arnau in Heverlee, naast het Abdij van Park. Wij wandelen er heel graag! Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken. Dit is een Catalaanse traditionele activiteit, maar niet alle Catalanen kunnen het maken. Ik werk aan de universiteit als postdoctoraal onderzoeker in vasculaire biologie. Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken. Ik hoop dat ik na niveau 2 vloeiende conversaties in het Nederlands can hebben. Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren! Dank je wel voor de lessen! Groetjes, Tot mandaag! Laia	Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren!	Wat vind (P)  ik moeilijk in het Nederlands is het  (W) zinstructuur, maar ik ga veel studeren! Dank je wel voor de lessen! Groetjes, Tot mandaag (S) ! Heel interessant, Laia! Je mag de tekst corrigeren en nog een keer sturen	vind	katapult
25	A2+	Frans	Best vriend, Ik schrijf je om te die last nieuws van de soap tellen.  Bert heeft Paolo, Anna en Sam uit genodigd om te eten. Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren. Er zal ruzie tussen Sam en Anna zeker zijn! Sam is heel jaloers. In termen van werk, heeft Bert enkele problemen omdat ze te laat en ziek zijn. Hun baas is niet content! Maar er is een goed nieuw voor de stewardess. Ze heeft een nieuwe baan als winkelier. Het was haar droom!    Groetjes, Colin	Ik schrijf je om te die last nieuws van de soap tellen.	Best (G)  vriend, Ik schrijf je om te (P)  die (W)  last (G)  nieuws van de soap tellen (W)	te	
26	A2+	Frans	Best vriend, Ik schrijf je om te die last nieuws van de soap tellen.  Bert heeft Paolo, Anna en Sam uit genodigd om te eten. Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren. Er zal ruzie tussen Sam en Anna zeker zijn! Sam is heel jaloers. In termen van werk, heeft Bert enkele problemen omdat ze te laat en ziek zijn. Hun baas is niet content! Maar er is een goed nieuw voor de stewardess. Ze heeft een nieuwe baan als winkelier. Het was haar droom!    Groetjes, Colin	Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren.	Tijdens het etentje, Sam heeft (P)  begrijpt (G)  dat Paolo en Anna drie keer per week contact hebben om te (P)  Italiaans en Nederlands praktiseren (W)	heeft	
28	A2+	Frans	Best vriend, Ik schrijf je om te die last nieuws van de soap tellen.  Bert heeft Paolo, Anna en Sam uit genodigd om te eten. Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren. Er zal ruzie tussen Sam en Anna zeker zijn! Sam is heel jaloers. In termen van werk, heeft Bert enkele problemen omdat ze te laat en ziek zijn. Hun baas is niet content! Maar er is een goed nieuw voor de stewardess. Ze heeft een nieuwe baan als winkelier. Het was haar droom!    Groetjes, Colin	Er zal ruzie tussen Sam en Anna zeker zijn!	Er zal ruzie tussen Sam en Anna zeker (P)  zijn! Sam is heel jaloers	zeker	
