index	original	level	original_spaced_punc	original_no_punc	scrambled	scrambled_final_punc	scrambled_no_punc	verbs_scrambled
15	In de centrale arena nabij het Veiligheidsplein zullen door deze partijen dagelijks presentaties worden gehouden over onder andere veiligheid en vaarregels.	B1+	In de centrale arena nabij het Veiligheidsplein zullen door deze partijen dagelijks presentaties worden gehouden over onder andere veiligheid en vaarregels .	In de centrale arena nabij het Veiligheidsplein zullen door deze partijen dagelijks presentaties worden gehouden over onder andere veiligheid en vaarregels	gehouden partijen en over presentaties het andere arena onder deze centrale vaarregels worden . dagelijks veiligheid In Veiligheidsplein nabij de door zullen	gehouden partijen en over presentaties het andere arena onder deze centrale vaarregels worden dagelijks veiligheid In Veiligheidsplein nabij de door zullen .	gehouden partijen en over presentaties het andere arena onder deze centrale vaarregels worden dagelijks veiligheid In Veiligheidsplein nabij de door zullen	In zullen de centrale arena nabij het Veiligheidsplein door deze partijen dagelijks presentaties over onder andere worden veiligheid en gehouden vaarregels .
16	Het idee voor FoodDrop ontstaat als Jantine in Groningen op het terras zit en bezorgscooters rijden af en aan ziet rijden.	A2+	Het idee voor FoodDrop ontstaat als Jantine in Groningen op het terras zit en bezorgscooters rijden af en aan ziet rijden .	Het idee voor FoodDrop ontstaat als Jantine in Groningen op het terras zit en bezorgscooters rijden af en aan ziet rijden	bezorgscooters af en ontstaat als . Groningen ziet idee en voor op het zit in Het Jantine rijden terras aan FoodDrop rijden	bezorgscooters af en ontstaat als Groningen ziet idee en voor op het zit in Het Jantine rijden terras aan FoodDrop rijden .	bezorgscooters af en ontstaat als Groningen ziet idee en voor op het zit in Het Jantine rijden terras aan FoodDrop rijden	zit Het ontstaat idee voor FoodDrop aan als Jantine ziet in Groningen op het terras en rijden bezorgscooters af en rijden .
17	Dat kan anders, vond ik, en vooral veel duurzamer.	A2+	Dat kan anders , vond ik , en vooral veel duurzamer .	Dat kan anders vond ik en vooral veel duurzamer	. ik anders , duurzamer en vooral , Dat veel vond kan	ik anders , duurzamer en vooral , Dat veel vond kan .	ik anders duurzamer en vooral Dat veel vond kan	Dat anders , ik , vond en kan vooral veel duurzamer .
18	Het leek me logischer om de bezorgdiensten te bundelen: zij bezorgen, restaurants koken.	A2+	Het leek me logischer om de bezorgdiensten te bundelen: zij bezorgen , restaurants koken .	Het leek me logischer om de bezorgdiensten te bundelen: zij bezorgen restaurants koken	koken me te . bundelen: logischer de leek bezorgdiensten bezorgen , restaurants zij om Het	koken me te bundelen: logischer de leek bezorgdiensten bezorgen , restaurants zij om Het .	koken me te bundelen: logischer de leek bezorgdiensten bezorgen restaurants zij om Het	Het me logischer om te de bezorgdiensten bezorgen: leek zij koken , restaurants bundelen .
19	Zo doet iedereen waar hij of zij goed in is.	A2+	Zo doet iedereen waar hij of zij goed in is .	Zo doet iedereen waar hij of zij goed in is	hij . of is zij doet Zo goed iedereen waar in	hij of is zij doet Zo goed iedereen waar in .	hij of is zij doet Zo goed iedereen waar in	Zo iedereen waar hij doet of zij is goed in .
20	Ze studeert op dat moment informatiekunde en weet hoe ze moet programmeren.	A2+	Ze studeert op dat moment informatiekunde en weet hoe ze moet programmeren .	Ze studeert op dat moment informatiekunde en weet hoe ze moet programmeren	. studeert moet Ze moment weet ze informatiekunde op dat hoe en programmeren	studeert moet Ze moment weet ze informatiekunde op dat hoe en programmeren .	studeert moet Ze moment weet ze informatiekunde op dat hoe en programmeren	Ze op dat moment weet moet informatiekunde en hoe ze studeert . programmeren
21	Twee weken later heeft ze de basis van het FoodDrop-platform staan en betrekt ze horecaondernemers uit haar netwerk bij haar plan.	A2+	Twee weken later heeft ze de basis van het FoodDrop-platform staan en betrekt ze horecaondernemers uit haar netwerk bij haar plan .	Twee weken later heeft ze de basis van het FoodDrop-platform staan en betrekt ze horecaondernemers uit haar netwerk bij haar plan	uit staan weken betrekt basis netwerk horecaondernemers en later plan van . haar ze het ze Twee heeft haar bij FoodDrop-platform de	uit staan weken betrekt basis netwerk horecaondernemers en later plan van haar ze het ze Twee heeft haar bij FoodDrop-platform de .	uit staan weken betrekt basis netwerk horecaondernemers en later plan van haar ze het ze Twee heeft haar bij FoodDrop-platform de	Twee weken later ze de basis van het FoodDrop-platform en ze horecaondernemers uit haar staan netwerk bij haar plan betrekt . heeft
23	Dit verhaal ging in eerste instantie over ondernemers met een groeiend bedrijf.	B1	Dit verhaal ging in eerste instantie over ondernemers met een groeiend bedrijf .	Dit verhaal ging in eerste instantie over ondernemers met een groeiend bedrijf	in met over instantie groeiend een Dit . ging verhaal eerste bedrijf ondernemers	in met over instantie groeiend een Dit ging verhaal eerste bedrijf ondernemers .	in met over instantie groeiend een Dit ging verhaal eerste bedrijf ondernemers	Dit verhaal in eerste instantie over ondernemers met een groeiend bedrijf . ging
24	Maar toen kwam corona.	B1	Maar toen kwam corona .	Maar toen kwam corona	Maar . toen kwam corona	Maar toen kwam corona .	Maar toen kwam corona	Maar toen corona kwam .
25	We gingen opnieuw bij de horecamannen op bezoek om te praten over ondernemen in coronatijd.	B1	We gingen opnieuw bij de horecamannen op bezoek om te praten over ondernemen in coronatijd .	We gingen opnieuw bij de horecamannen op bezoek om te praten over ondernemen in coronatijd	praten bij bezoek om gingen We opnieuw de horecamannen . ondernemen op over coronatijd te in	praten bij bezoek om gingen We opnieuw de horecamannen ondernemen op over coronatijd te in .	praten bij bezoek om gingen We opnieuw de horecamannen ondernemen op over coronatijd te in	We gingen opnieuw bij de horecamannen op bezoek om ondernemen te over in praten coronatijd .
27	Restaurants verzinnen in coronatijd creatieve ideeën om aan het werk te blijven en zichtbaar te zijn.	B1	Restaurants verzinnen in coronatijd creatieve ideeën om aan het werk te blijven en zichtbaar te zijn .	Restaurants verzinnen in coronatijd creatieve ideeën om aan het werk te blijven en zichtbaar te zijn	zijn . Restaurants te aan creatieve zichtbaar ideeën verzinnen blijven het werk en te in om coronatijd	zijn Restaurants te aan creatieve zichtbaar ideeën verzinnen blijven het werk en te in om coronatijd .	zijn Restaurants te aan creatieve zichtbaar ideeën verzinnen blijven het werk en te in om coronatijd	te Restaurants te verzinnen in blijven coronatijd creatieve ideeën om aan het werk en zijn zichtbaar .
28	Toch zijn er horecaondernemers die het niet zo aanpakken en zich op een andere manier in de kijker spelen.	B1	Toch zijn er horecaondernemers die het niet zo aanpakken en zich op een andere manier in de kijker spelen .	Toch zijn er horecaondernemers die het niet zo aanpakken en zich op een andere manier in de kijker spelen	zijn in kijker het manier Toch die en andere een niet zich de zo horecaondernemers er . spelen op aanpakken	zijn in kijker het manier Toch die en andere een niet zich de zo horecaondernemers er spelen op aanpakken .	zijn in kijker het manier Toch die en andere een niet zich de zo horecaondernemers er spelen op aanpakken	Toch er zijn horecaondernemers die het niet zo en zich op een spelen andere aanpakken manier in de kijker .
29	In 2017 openen ze hun eerste zaak: Block & Barrels.	B1	In 2017 openen ze hun eerste zaak: Block & Barrels .	In 2017 openen ze hun eerste zaak: Block & Barrels	hun openen Barrels 2017 ze & zaak: In Block . eerste	hun openen Barrels 2017 ze & zaak: In Block eerste .	hun openen Barrels 2017 ze & zaak: In Block eerste	In 2017 ze hun eerste zaak: openen Block & Barrels .
30	Het restaurant staat in hartje stad en focust zich op duurzaam vlees en speciaalbier, dit alles in een pubsfeer.	B1	Het restaurant staat in hartje stad en focust zich op duurzaam vlees en speciaalbier , dit alles in een pubsfeer .	Het restaurant staat in hartje stad en focust zich op duurzaam vlees en speciaalbier dit alles in een pubsfeer	duurzaam pubsfeer speciaalbier en hartje restaurant staat alles stad Het op een in focust en zich vlees . , in dit	duurzaam pubsfeer speciaalbier en hartje restaurant staat alles stad Het op een in focust en zich vlees , in dit .	duurzaam pubsfeer speciaalbier en hartje restaurant staat alles stad Het op een in focust en zich vlees in dit	Het restaurant in hartje stad en zich op staat duurzaam vlees en speciaalbier , dit alles focust in een pubsfeer .
31	De mannen werken samen met lokale leveranciers en serveren producten uit de regio.	B1	De mannen werken samen met lokale leveranciers en serveren producten uit de regio .	De mannen werken samen met lokale leveranciers en serveren producten uit de regio	producten de . lokale samen met werken leveranciers uit serveren en regio De mannen	producten de lokale samen met werken leveranciers uit serveren en regio De mannen .	producten de lokale samen met werken leveranciers uit serveren en regio De mannen	De mannen samen met lokale leveranciers en werken producten uit de regio . serveren
32	Aan de kades van de Oudegracht De Oudegracht is het sfeervolle hart van de stad.	B2	Aan de kades van de Oudegracht De Oudegracht is het sfeervolle hart van de stad .	Aan de kades van de Oudegracht De Oudegracht is het sfeervolle hart van de stad	hart van stad de de is Oudegracht van de De Aan sfeervolle . Oudegracht het kades	hart van stad de de is Oudegracht van de De Aan sfeervolle Oudegracht het kades .	hart van stad de de is Oudegracht van de De Aan sfeervolle Oudegracht het kades	Aan is de kades van de Oudegracht De Oudegracht het sfeervolle hart van de stad .
33	In de middeleeuwen was het hier een drukte van belang met de aan- en afvoer van goederen.	B2	In de middeleeuwen was het hier een drukte van belang met de aan- en afvoer van goederen .	In de middeleeuwen was het hier een drukte van belang met de aan- en afvoer van goederen	en de van drukte afvoer aan- In goederen van de het was . een met middeleeuwen hier belang	en de van drukte afvoer aan- In goederen van de het was een met middeleeuwen hier belang .	en de van drukte afvoer aan- In goederen van de het was een met middeleeuwen hier belang	In de middeleeuwen het hier een was drukte van belang met de aan- en afvoer van goederen .
34	Nu is het een prachtige plek om te winkelen en te lunchen of te dineren in de oude stadskastelen.	B2	Nu is het een prachtige plek om te winkelen en te lunchen of te dineren in de oude stadskastelen .	Nu is het een prachtige plek om te winkelen en te lunchen of te dineren in de oude stadskastelen	om het te stadskastelen oude is plek dineren winkelen . en lunchen of te in te Nu de een prachtige	om het te stadskastelen oude is plek dineren winkelen en lunchen of te in te Nu de een prachtige .	om het te stadskastelen oude is plek dineren winkelen en lunchen of te in te Nu de een prachtige	Nu het winkelen een prachtige plek om te en of is in de oude te stadskastelen te dineren . lunchen
35	Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht loop je door het overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel.	B2	Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht loop je door het overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel .	Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht loop je door het overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel	naar Utrecht op . Catharijne van moderne Centraal lichte van hoek de door je Hoog het het Station loop winkelcentrum de en van stationshal Catharijnesingel overdekte de Vanuit TivoliVredenburg	naar Utrecht op Catharijne van moderne Centraal lichte van hoek de door je Hoog het het Station loop winkelcentrum de en van stationshal Catharijnesingel overdekte de Vanuit TivoliVredenburg .	naar Utrecht op Catharijne van moderne Centraal lichte van hoek de door je Hoog het het Station loop winkelcentrum de en van stationshal Catharijnesingel overdekte de Vanuit TivoliVredenburg	Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht je door het loop overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel .
36	Het Gegeven Paard, waar je heerlijk met een kop koffie kunt neerstrijken aan de lange tafels.	B2	Het Gegeven Paard , waar je heerlijk met een kop koffie kunt neerstrijken aan de lange tafels .	Het Gegeven Paard waar je heerlijk met een kop koffie kunt neerstrijken aan de lange tafels	tafels aan waar Gegeven heerlijk kunt koffie de , met Het lange Paard neerstrijken . kop je een	tafels aan waar Gegeven heerlijk kunt koffie de , met Het lange Paard neerstrijken kop je een .	tafels aan waar Gegeven heerlijk kunt koffie de met Het lange Paard neerstrijken kop je een	Het Gegeven neerstrijken Paard , waar kunt je heerlijk met een kop koffie aan de lange tafels .
37	De snelste route naar de Oudegracht, het centrum van Utrecht, loopt over de Lange Viestraat.	B2	De snelste route naar de Oudegracht , het centrum van Utrecht , loopt over de Lange Viestraat .	De snelste route naar de Oudegracht het centrum van Utrecht loopt over de Lange Viestraat	snelste van , Lange Utrecht Oudegracht , Viestraat over naar . het loopt de centrum de De route	snelste van , Lange Utrecht Oudegracht , Viestraat over naar het loopt de centrum de De route .	snelste van Lange Utrecht Oudegracht Viestraat over naar het loopt de centrum de De route	De snelste route naar de Oudegracht , het centrum van Utrecht , over de loopt Lange Viestraat .
38	Mode bij Hutspot Vervolg je weg langs de Oudegracht en bewonder de oude panden.	B2	Mode bij Hutspot Vervolg je weg langs de Oudegracht en bewonder de oude panden .	Mode bij Hutspot Vervolg je weg langs de Oudegracht en bewonder de oude panden	de Hutspot bij langs je . oude de Mode weg en bewonder Vervolg Oudegracht panden	de Hutspot bij langs je oude de Mode weg en bewonder Vervolg Oudegracht panden .	de Hutspot bij langs je oude de Mode weg en bewonder Vervolg Oudegracht panden	Mode bij Vervolg Hutspot je weg langs de Oudegracht en bewonder de oude panden .
39	Neem ook eens een zijweggetje, zoals de Vinkenburgstraat, die voetgangers vanaf de Oudegracht naar de Neude leidt.	B2	Neem ook eens een zijweggetje , zoals de Vinkenburgstraat , die voetgangers vanaf de Oudegracht naar de Neude leidt .	Neem ook eens een zijweggetje zoals de Vinkenburgstraat die voetgangers vanaf de Oudegracht naar de Neude leidt	Neem . de leidt zijweggetje de Vinkenburgstraat een Neude naar vanaf ook eens de zoals voetgangers , Oudegracht die ,	Neem de leidt zijweggetje de Vinkenburgstraat een Neude naar vanaf ook eens de zoals voetgangers , Oudegracht die , .	Neem de leidt zijweggetje de Vinkenburgstraat een Neude naar vanaf ook eens de zoals voetgangers Oudegracht die	ook eens een zijweggetje , zoals de Vinkenburgstraat leidt Neem , die voetgangers vanaf de Oudegracht naar de Neude .
40	Het is The Walk of Fame van Utrecht.	B2	Het is The Walk of Fame van Utrecht .	Het is The Walk of Fame van Utrecht	van Het Utrecht is . Fame of Walk The	van Het Utrecht is Fame of Walk The .	van Het Utrecht is Fame of Walk The	Het The Walk of Fame is van Utrecht .
41	Zo slenter je via de handafdrukken van onder anderen Georgina Verbaan, Barry Atsma en Carice van Houten richting hotspot Hutspot.	B2	Zo slenter je via de handafdrukken van onder anderen Georgina Verbaan , Barry Atsma en Carice van Houten richting hotspot Hutspot .	Zo slenter je via de handafdrukken van onder anderen Georgina Verbaan Barry Atsma en Carice van Houten richting hotspot Hutspot	, Atsma Barry van hotspot van via Zo anderen de onder Georgina je Houten slenter en Carice Hutspot richting handafdrukken . Verbaan	, Atsma Barry van hotspot van via Zo anderen de onder Georgina je Houten slenter en Carice Hutspot richting handafdrukken Verbaan .	Atsma Barry van hotspot van via Zo anderen de onder Georgina je Houten slenter en Carice Hutspot richting handafdrukken Verbaan	Zo je via de slenter handafdrukken van onder anderen Georgina Verbaan , Barry Atsma en Carice van Houten richting hotspot Hutspot .
42	In deze strak ingerichte conceptstore wordt moois van modelabels gecombineerd met lifestyle must haves en interieuraccessoires.	B2	In deze strak ingerichte conceptstore wordt moois van modelabels gecombineerd met lifestyle must haves en interieuraccessoires .	In deze strak ingerichte conceptstore wordt moois van modelabels gecombineerd met lifestyle must haves en interieuraccessoires	ingerichte modelabels must deze van lifestyle haves gecombineerd strak en interieuraccessoires met wordt conceptstore moois . In	ingerichte modelabels must deze van lifestyle haves gecombineerd strak en interieuraccessoires met wordt conceptstore moois In .	ingerichte modelabels must deze van lifestyle haves gecombineerd strak en interieuraccessoires met wordt conceptstore moois In	gecombineerd wordt In deze strak ingerichte conceptstore moois van modelabels met lifestyle must haves en interieuraccessoires .
43	In Leeuwarden is vanavond een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de overwinning van de club op Excelsior te vieren.	B1+	In Leeuwarden is vanavond een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de overwinning van de club op Excelsior te vieren .	In Leeuwarden is vanavond een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de overwinning van de club op Excelsior te vieren	te samengekomen Excelsior Cambuursupporters Leeuwarden tweehonderd honderd In een groep vieren op om club de van vanavond is tot de overwinning van .	te samengekomen Excelsior Cambuursupporters Leeuwarden tweehonderd honderd In een groep vieren op om club de van vanavond is tot de overwinning van .	te samengekomen Excelsior Cambuursupporters Leeuwarden tweehonderd honderd In een groep vieren op om club de van vanavond is tot de overwinning van	In Leeuwarden vanavond te een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de vieren overwinning van is de club op Excelsior .
44	Cambuur werd daardoor winterkampioen in de eerste divisie.	B1+	Cambuur werd daardoor winterkampioen in de eerste divisie .	Cambuur werd daardoor winterkampioen in de eerste divisie	winterkampioen Cambuur daardoor divisie eerste . de werd in	winterkampioen Cambuur daardoor divisie eerste de werd in .	winterkampioen Cambuur daardoor divisie eerste de werd in	Cambuur daardoor winterkampioen in werd de eerste divisie .
45	De spelersbus werd door een groep supporters onthaald.	B1+	De spelersbus werd door een groep supporters onthaald .	De spelersbus werd door een groep supporters onthaald	. onthaald spelersbus De door supporters groep werd een	onthaald spelersbus De door supporters groep werd een .	onthaald spelersbus De door supporters groep werd een	De spelersbus door onthaald een werd groep supporters .
46	Daarbij werd vuurwerk afgestoken.	B1+	Daarbij werd vuurwerk afgestoken .	Daarbij werd vuurwerk afgestoken	Daarbij . vuurwerk werd afgestoken	Daarbij vuurwerk werd afgestoken .	Daarbij vuurwerk werd afgestoken	afgestoken Daarbij vuurwerk . werd
47	Op beelden was te zien een groot deel van de mensen onvoldoende afstand hield en geen mondkapje droeg.	B1+	Op beelden was te zien een groot deel van de mensen onvoldoende afstand hield en geen mondkapje droeg .	Op beelden was te zien een groot deel van de mensen onvoldoende afstand hield en geen mondkapje droeg	droeg onvoldoende en geen een afstand was zien . hield groot mondkapje te de deel van beelden Op mensen	droeg onvoldoende en geen een afstand was zien hield groot mondkapje te de deel van beelden Op mensen .	droeg onvoldoende en geen een afstand was zien hield groot mondkapje te de deel van beelden Op mensen	hield Op beelden zien een groot deel van de mensen onvoldoende te was afstand en geen droeg mondkapje .
48	Er werden geen arrestaties verricht.	B1+	Er werden geen arrestaties verricht .	Er werden geen arrestaties verricht	arrestaties verricht geen Er werden .	arrestaties verricht geen Er werden .	arrestaties verricht geen Er werden	Er geen verricht arrestaties werden .
49	De politie was ter plaatse bij het Cambuurstadion, maar greep niet in.	B1+	De politie was ter plaatse bij het Cambuurstadion , maar greep niet in .	De politie was ter plaatse bij het Cambuurstadion maar greep niet in	in plaatse maar bij het , De niet greep ter was Cambuurstadion . politie	in plaatse maar bij het , De niet greep ter was Cambuurstadion politie .	in plaatse maar bij het De niet greep ter was Cambuurstadion politie	was De politie greep ter plaatse bij het Cambuurstadion , maar niet in .
50	Volgens een politiewoordvoerder duurde het ongeveer een half uur tot drie kwartier en konden de agenten op het moment zelf niet handhaven.	B1+	Volgens een politiewoordvoerder duurde het ongeveer een half uur tot drie kwartier en konden de agenten op het moment zelf niet handhaven .	Volgens een politiewoordvoerder duurde het ongeveer een half uur tot drie kwartier en konden de agenten op het moment zelf niet handhaven	zelf kwartier een konden het politiewoordvoerder niet de een duurde agenten Volgens tot drie het uur handhaven op . en moment ongeveer half	zelf kwartier een konden het politiewoordvoerder niet de een duurde agenten Volgens tot drie het uur handhaven op en moment ongeveer half .	zelf kwartier een konden het politiewoordvoerder niet de een duurde agenten Volgens tot drie het uur handhaven op en moment ongeveer half	Volgens een politiewoordvoerder duurde het ongeveer een half konden uur tot drie kwartier en de agenten op het moment zelf niet . handhaven
