index	original	level
29	In 2017 openen ze hun eerste zaak: Block & Barrels.	B1
30	Het restaurant staat in hartje stad en focust zich op duurzaam vlees en speciaalbier, dit alles in een pubsfeer.	B1
31	De mannen werken samen met lokale leveranciers en serveren producten uit de regio.	B1
32	Aan de kades van de Oudegracht De Oudegracht is het sfeervolle hart van de stad.	B2
33	In de middeleeuwen was het hier een drukte van belang met de aan- en afvoer van goederen.	B2
34	Nu is het een prachtige plek om te winkelen en te lunchen of te dineren in de oude stadskastelen.	B2
35	Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht loop je door het overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel.	B2
36	Het Gegeven Paard, waar je heerlijk met een kop koffie kunt neerstrijken aan de lange tafels.	B2
37	De snelste route naar de Oudegracht, het centrum van Utrecht, loopt over de Lange Viestraat.	B2
38	Mode bij Hutspot Vervolg je weg langs de Oudegracht en bewonder de oude panden.	B2
39	Neem ook eens een zijweggetje, zoals de Vinkenburgstraat, die voetgangers vanaf de Oudegracht naar de Neude leidt.	B2
40	Het is The Walk of Fame van Utrecht.	B2
41	Zo slenter je via de handafdrukken van onder anderen Georgina Verbaan, Barry Atsma en Carice van Houten richting hotspot Hutspot.	B2
42	In deze strak ingerichte conceptstore wordt moois van modelabels gecombineerd met lifestyle must haves en interieuraccessoires.	B2
43	In Leeuwarden is vanavond een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de overwinning van de club op Excelsior te vieren.	B1+
44	Cambuur werd daardoor winterkampioen in de eerste divisie.	B1+
45	De spelersbus werd door een groep supporters onthaald.	B1+
46	Daarbij werd vuurwerk afgestoken.	B1+
47	Op beelden was te zien een groot deel van de mensen onvoldoende afstand hield en geen mondkapje droeg.	B1+
48	Er werden geen arrestaties verricht.	B1+
49	De politie was ter plaatse bij het Cambuurstadion, maar greep niet in.	B1+
50	Volgens een politiewoordvoerder duurde het ongeveer een half uur tot drie kwartier en konden de agenten op het moment zelf niet handhaven.	B1+
51	Daarover wil de politie verder niets kwijt.	B1+
52	De beelden zullen bestudeerd worden en mogelijk krijgen supporters alsnog een boete thuisgestuurd.	B1+
53	Niet blij Cambuurtrainer Henk de Jong had supporters juist opgeroepen om geen feest te vieren.	B1+
54	Hierover waren van tevoren ook afspraken gemaakt met de gemeente, zegt de politie.	B1+
55	"De gemeente Leeuwarden is niet blij dat men ""massaal op straat was"", laat een woordvoerder weten."	B1+
56	Dit stuk schreven we op 11 maart, voordat verplicht thuiswerken ineens de realiteit voor vrijwel heel Nederland werd.	B1+
57	Nu, op 16 maart, we het zo real life met z’n allen uitproberen, hopen we dat de suggesties écht zo goed werken.	B1+
58	Als we betere ontdekkingen doen, of als we die horen van onze klanten, dan zullen we die hier ook delen.	B1+
59	Bij Voys werken we vaak remote.	B1+
60	Daarnaast hebben we teams op verschillende locaties die veel met elkaar samenwerken.	B1+
61	We schreven eerder al eens stukken over remote werken en lange periodes werken in bijvoorbeeld het buitenland.	B1+
62	Maar wat als je -noodgedwongen- een aantal weken thuis mag werken?	B1+
63	Of dat een heel team een tijd fysiek niet bij elkaar komt, dat je elkaar niet in levenden lijve ziet?	B1+
64	Welke tips, tools en werkprocessen kunnen je op dat moment helpen?	B1+
65	Dat zochten we voor je uit, het resultaat: 15 tips om van thuiswerken een succes te maken.	B1+
66	Werkprocessen 1.	B1+
67	Maak duidelijke spelregels voor thuiswerk.	B1+
68	Dit geeft duidelijkheid voor degenen die thuiswerken en voor de collega’s die dat niet doen.	B1+
69	Denk aan spelregels over over werktijden, beschikbaarheid maar ook over bijvoorbeeld communicatie en het gebruik van tools.	B1+
70	Omdat je elkaar minder ‘ziet’, kan er onduidelijkheid en frustratie ontstaan.	B1+
71	Het lijkt erop dat 2020, samen met 2014, het warmste jaar ooit gemeten wordt.	A2+
72	Gemiddeld was het dit jaar 11,7 graden.	A2+
73	Het was in 2020 maar liefst 225 dagen warmer dan normaal.	A2+
74	Alleen in mei en juli was het wat kouder dan gemiddeld, in alle andere maanden was het warmer.	A2+
75	Vooral in januari en februari was dat zo.	A2+
76	Het heeft in 2020 maar een paar dagen gevroren.	A2+
77	In andere jaren gebeurde dat vaker.	A2+
78	Dit jaar werden ook veel nieuwe warmterecords gehaald.	A2+
79	Op 15 september werd de hoogste temperatuur ooit in september gemeten.	A2+
80	Bij het officiële weerstation in De Bilt werd het toen 31,4 graden.	A2+
81	Er zijn momenten dat ik me ineens erg oud voel.	B1+
82	Op 6 juni 2014 was de 30-ste verjaardag van Tetris.	B1+
83	En ook ergens dit jaar is het de 30-ste verjaardag van Ghostbusters.	B1+
84	Ik herinner me van Ghostbusters vooral het melodietje dat (op mijn Commodore 64) zonder veel variatie maar door bleef gaan.	B1+
85	Aan het spel zelf heb ik niet zo veel tijd besteed.	B1+
86	Op dit moment zijn er nog legio Ghostbuster attributen te koop.	B1+
87	En Tetris had ook als zo’n herkenbaar geluidje.	B1+
88	Dit was echt verslavend en het gaat helemaal nergens over.	B1+
89	Waarom was Tetris zo verslavend?	B1+
90	Tom Stafford bekijkt “The psychology of Tetris”.	B1+
91	Tom beschrijft het Zeigarnik Effect waar bij ons brein zich richt op nog niet voltooide taken, maar voltooide taken ook weer direct vergeet.	B1+
92	Een verschijnsel dat ik in de klas ook wel zie.	B1+
93	Leerlingen zijn druk bezig met een opdracht of opgave.	B1+
94	Ze overleggen met buren.	B1+
95	Komen tot een juiste conclusie.	B1+
96	En als ik dan even later een andere opdracht geeft over hetzelfde onderwerp dan hebben leerlingen geen idee meer.	B1+
97	Dit voorjaar is het vijf jaar geleden dat we bij Voys begonnen met Holacracy.	B1+
98	Hoe staat het er nu voor en wat hebben we geleerd van het organisatiemodel?	B1+
99	Dat vertellen we in de reeks ‘5 jaar Holacracy’.	B1+
100	Dit verhaal is het derde en laatste deel uit de reeks.	B1+
101	Last, but zeker not least, deelt collega Wouter, Holacracy Coach bij Voys, de vijf lessen die we van Holacracy hebben geleerd.	B1+
102	In het eerste deel legt collega Mark uit wie de knopen doorhakt in een zelfsturende organisatie.	B1+
103	Done’, antwoord op de tien meestgestelde vragen over Holacracy.	B1+
104	Hoe staat het ervoor?	B1+
105	Na vijf jaar Holacracy beoefenen, wordt het tijd voor een evaluatie.	B1+
106	Hoe staan we er nu voor en wat hebben we geleerd in de afgelopen jaren?	B1+
107	De antwoorden op deze vragen heb ik gebundeld in vijf lessen, op naar de eerste.	B1+
108	Wie denkt dat je met Holacracy alle processen binnen je bedrijf regelt, heeft het mis.	B1+
109	Het organisatiemodel geeft geen antwoord op de vraagstukken en problemen die er zijn als je begint met het beoefenen ervan.	B1+
110	Waar moet je als organisatie op letten naast het inzetten van technische tools voor het beveiligen van jouw netwerk?	B2
111	In deze blog geven wij je 5 praktische tips die je snel en eenvoudig binnen jouw organisatie kunt toepassen.	B2
112	We begrijpen dat het ondoenlijk is om al die unieke wachtwoorden te onthouden, zeker niet wanneer er allerlei voorwaarden aan verbonden zijn.	B2
113	Het is daarom verstandig om medewerkers te informeren en adviseren over tools die beschikbaar zijn hiervoor.	B2
114	Een wachtwoordbeleid moet werkbaar zijn om te voorkomen dat mensen er omheen gaan werken.	B2
115	Als u van werknemers vraagt de wachtwoorden elke maand te veranderen, 20 karakters te gebruiken en uniek te blijven, dan is de kans vrij groot dat er overal post-its geplakt worden om ze allemaal te onthouden.	B2
116	Zijn maatregelen werkbaar, dan is de kans vele malen kleiner dat mensen bedrijfswachtwoorden bijvoorbeeld ook buiten de bedrijfsserver gaan gebruiken.	B2
117	Maak back-ups en pas encryptie toe Back-ups van het bedrijfsnetwerk worden in de meeste gevallen goed geregeld door de IT-afdeling.	B2
118	Wat veel werknemers echter vergeten is dat de lokale schijf van de pc vaak niet automatisch geback-upt wordt.	B2
119	Als nerd kijk ik naar Apple vanuit een gadget perspectief.	B2
120	Maar als ondernemer kijk ik anders naar het bedrijf.	B2
121	Dit zijn de 6 lessen die Apple je kan leren over productontwikkeling en marketing, inclusief een les die je volgens mij vooral niet moet willen kopiëren.	B2
122	De kern van een MacBook en elke andere Apple computer draait op MacOS.	B2
123	Dit MacOS besturingssysteem is gebaseerd op Unix en een kern die Darwin heet.	B2
124	Apple heeft op basis van deze componenten een zeer sterke software-architectuur gemaakt.	B2
125	De reden hiervoor is dat Apple al jaren een eigen CPU maakt voor de iPhone.	B2
126	Die CPU is zo volwassen, dat Apple het gevoel heeft dat een chip op basis van hetzelfde ontwerp nu ook volwassen genoeg is voor haar MacBooks.	B2
127	Dit maakt Apple volledig onafhankelijk van CPU leverancier Intel.	B2
128	Dat is een groot pluspunt.	B2
129	Als het gaat om aanbesteden, is Rijkswaterstaat gebonden aan de wettelijke kaders.	C1+
130	Zo is er een EG-richtlijn om overheidsopdrachten te plaatsen voor werken, diensten en leveringen (2014-24-EU).	C1+
131	Deze richtlijn vormt het huidige kader voor opdrachten boven de Europese drempelwaarden.	C1+
132	De drempelwaarden worden elke 2 jaar opnieuw vastgesteld en zijn te vinden, op de website van PIANOo.	C1+
133	De EG-richtlijn is in Nederland geïmplementeerd via de Aanbestedingswet 2012, laatstelijk gewijzigd bij wet van 22 juni 2016.	C1+
134	De Aanbestedingswet 2012, het Aanbestedingsbesluit en de Gids Proportionaliteit zijn van toepassing op alle aanbestedingen.	C1+
135	Rijkswaterstaat heeft ervoor gekozen bij opdrachten voor Werken boven de drempel als aanbestedingsreglement het Aanbestedingsreglement Werken (ARW) 2016 toe te passen.	C1+
136	Bij opdrachten voor Werken beneden de drempel is toepassing van het ARW 2016 door de wetgever verplicht gesteld.	C1+
137	Bij diensten en leveringen kan het ARW 2016 ook worden toegepast, maar is dit niet verplicht, zodat het ook mogelijk is dat bij deze aanbestedingen een ander reglement gebruikt wordt.	C1+
138	U krijgt meer voorbereidingstijd voor een inschrijving.	C1+
139	Er zijn in principe twee inlichtingenrondes.	C1+
140	Het is mogelijk om individueel inlichtingen te krijgen, als dat noodzakelijk is om de commerciële belangen te beschermen.	C1+
141	Vanaf je geboorte beschik je over een afweersysteem tegen ziektes.	B2+
142	Dat aangeboren systeem is aspecifiek.	B2+
143	Het herkent geen aparte aanvallers en bouwt ook geen geheugen op.	B2+
144	Het is wel razend snel in het vernietigen van de ziekteverwekkers.	B2+
145	Je tranen doden bacteriën, maar je lichaam onthoudt het niet.	B2+
146	Elke keer reageert je lichaam weer met een ontstekingsreactie op een splinter die binnenkomt via de huid.	B2+
147	In de loop van je leven komen veel antigenen, cellen of stoffen die een afweer reactie oproepen, binnen.	B2+
148	Van een aantal onthoudt je lichaam de vorm.	B2+
149	Die specifieke afweer bouw je in de loop van je leven op tegen speciale antigenen.	B2+
150	De verworven specifieke afweer kan dus pathogenen van elkaar door hun vorm en structuur ‘te onthouden’.	B2+
151	Deze afweer heeft twee vormen.	B2+
152	Bij de cellulaire afweer gaat het vooral om virussen en geïnfecteerde cellen die vernietigd worden.	B2+
153	De humorale afweer (humor=bloed) zorgt ervoor dat er specifieke antistoffen tegen een antigeen worden gevormd.	B2+
154	Die antistoffen maken het antigeen onschadelijk.	B2+
155	Cellulaire en humorale afweer werken samen.	B2+
156	Moet ik aangifte erfbelasting doen?	B2
157	We sturen een brief waarin staat of de erfgenamen aangifte moeten doen of niet.	B2
158	Dit doen we binnen 4 maanden na het overlijden.	B2
159	We sturen de brief naar 1 van de erfgenamen, meestal de partner of het oudste kind van de overledene.	B2
160	In de brief staat ook hoe u aangifte erfbelasting doet en wanneer de aangifte bij ons binnen moet zijn.	B2
161	Blijkt uit het testament of een verklaring van erfrecht dat een executeur of een notaris gemachtigd is om de aangifte erfbelasting in te vullen?	B2
162	Dan sturen wij de aangiftebrief naar die gemachtigde.	B2
163	Want dan moet u erfbelasting betalen.	B2
164	Met het hulpmiddel Erfbelasting berekenen controleert u eenvoudig of dat zo is.	B2
165	Om de afwasautomaat goed te laten functioneren moet hij vakkundig worden aangesloten.	B2+
166	De gegevens van watertoevoer en waterafvoer en de elektrische aansluitwaarden moeten met de vereiste criteria overeenkomen zoals deze in de volgende alinea’s resp. in het montagevoorschrift zijn beschreven.	B2+
167	Het apparaat volgens het installatie- en montagevoorschrift plaatsen en aansluiten.	B2+
168	Tijdens het installeren mag de afwasautomaat niet op het elektriciteitsnet zijn aangesloten.	B2+
169	De elektrische aansluitvoorwaarden moeten overeenkomen met de gegevens op het typeplaatje 9* van de afwasautomaat.	B2+
170	Om gevaren te voorkomen mag deze alleen door de Servicedienst vervangen worden.	B2+
171	Voor een goede stabiliteit van het apparaat mogen integreerbare of onderbouwapparaten alleen onder een doorlopend werkblad worden ingebouwd dat aan de kasten ernaast is vastgeschroefd.	B2+
172	We hebben een aantal maatregelen genomen.	B1
173	Dit doen we om bezoekers en medewerkers te beschermen en verdere verspreiding te voorkomen.	B1
174	Houd 1,5 meter afstand en draag een mondkapje.	B1
175	Was/desinfecteer handen regelmatig.	B1
176	Blijf thuis bij neusverkoudheid, hoesten, keelpijn of koorts.	B1
177	Schud geen handen.	B1
178	Veel producten en diensten kunt u online bij ons aanvragen.	B1
179	Wij vragen u om dit dan ook zo veel mogelijk te doen.	B1
180	Op deze pagina’s staan ook aanvullende maatregelen als dit van toepassing is voor uw gevraagde product of dienst.	B1
181	Komt u langs in onze gebouwen?	B1
182	Wij vragen u de aanwijzingen in het gebouw te volgen en afstand te houden.	B1
183	Uit voorzorg hebben wij op alle balies plexiglas schermen geplaatst.	B1
184	Voor de meeste producten en diensten is een afspraak nodig.	B1
185	Hebt u een afspraak?	B1
186	Wij vragen u niet eerder dan 15 minuten voor uw afspraak bij ons lang te komen.	B1
187	Kom zo veel mogelijk alleen.	B1
188	Kunt u niet, zeg dan ook uw afspraak af.	B1
189	Hebt u hulp nodig?	B1
190	Hebt u gezocht op onze website, maar komt u er niet uit of weet u niet precies waar u uw vraag moet stellen?	B1
191	Neem dan contact op met 14 030.	B1
192	Wij helpen u graag verder.	B1
193	Wilt u liever langskomen?	B1
194	Dan kan ook.	B1
195	Kom dan langs bij het servicepunt op het stadskantoor.	B1
196	De tweede bel is gegaan.	B1
197	De meeste leerlingen zitten in de klas, sommigen lopen nog rond.	B1
198	Ik zet de waterkoker aan omdat warm water altijd handig is voor proefjes over warmte.	B1
199	En zet ook de pan met water maar op het vuur.	B1
200	Ik sluit de brander aan voor het geval iemand die wil gebruiken.	B1
201	Op een kar staan kratjes met materiaal waarvan ik er paar op tafel zet.	B1
202	De les lijkt niet te willen beginnen.	B1
203	De pauze moet er eerst nog even uit gepraat worden.	B1
204	Na een paar minuten vraagt een groepje leerlingen of ze proef vijf punt drie mogen doen.	B1
205	En dan gaat het ineens snel.	B1
206	Iedereen realiseert zich dat er iets moet gebeuren.	B1
207	Waar waren we ook alweer?	B1
208	Het groepje dat “vijf punt drie” wil doen pakt de spullen uit de krat waar “5.3” opstaat en gaat weer zitten.	B1
209	Ze zitten met hun mobiel in de hand en bekijken de opdracht nog eens goed.	B1
210	Ze hebben het duidelijk niet voorbereid maar gaan toch aan de slag.	B1
211	Daniel Pennac beschrijft in zijn boek Schoolpijn (blz 126) mogelijke antwoorden die leerlingen kunnen geven.	A2+
212	Goede antwoorden zijn natuurlijk altijd fijn.	A2+
213	Foute antwoorden zijn altijd op een serieuze gedachte gebaseerd.	A2+
214	Absurde antwoorden zijn op geen enkele gedachte gebaseerd.	A2+
215	Volgens Pennac zijn absurde antwoorden vaak een automatisme, een reflex.	A2+
216	De leerling maakt geen fout maar antwoord zomaar wat.	A2+
217	De leerling beantwoord niet de vraag die gesteld is, maar reageert omdat er een vraag gesteld is.	A2+
218	De leerling heeft geen idee waar het over gaat maar wil niet onbeleefd zijn.	A2+
219	En geeft dus een antwoord.	A2+
220	Het absurde antwoord is een diplomatieke manier om te zeggen dat je iets niet weet terwijl je probeert een verbinding in stand te houden.	A2+
221	Pennac geeft aan dat je absurde antwoorden nooit mag “belonen” (met een slechte beoordeling) omdat leerlingen de absurde antwoorden dan blijven geven.	A2+
222	Ze weten dan wel dat het een slecht resultaat oplevert, maar hoeven zich in ieder geval niet te verdiepen in de lesstof of te bekennen dat ze er nog niet veel van begrijpen.	A2+
223	Absurde antwoorden moeten normaal behandeld worden.	A2+
224	Bij de geboorte van uw eerste kind kunt u kiezen of uw kind de achternaam van de moeder of die van de vader of duomoeder krijgt.	B1
225	De informatie op deze pagina gaat over situaties naar Nederlands recht.	B1
226	Als het kind niet de Nederlandse maar een andere nationaliteit heeft, wordt de achternaam bepaald naar het namenrecht van dat land.	B1
227	Om naamskeuze vast te leggen komt u samen naar Burgerzaken.	B1
228	Dit kan voor de geboorte of tijdens de geboorteaangifte.	B1
229	Welke achternaam krijgt uw kind?	B1
230	Uw kind krijgt bij de geboorte automatisch de achternaam van de vader of duomoeder, of moeder.	B1
231	Als het kind op die manier niet de naam krijgt die u wilt, moet u naamskeuze doen voor de naam van de andere ouder.	B1
232	De achternaam die u kiest voor uw eerste kind, geldt ook voor alle volgende kinderen van dezelfde ouders.	B1
233	Als de achternaam eenmaal is vastgelegd kan deze meestal niet meer veranderd worden.	B1
234	Binnen een huwelijk of geregistreerd partnerschap van een man en een vrouw krijgt het kind automatisch de achternaam van de vader.	B1
235	Wilt u dit niet, dan kunt u uiterlijk bij de aangifte van geboorte naamskeuze doen voor de achternaam van de moeder.	B1
236	Het heeft de voorkeur om dit tijdens de zwangerschap al te regelen.	B1
237	Met deze brief informeren wij u over de voortgang in het wegwerken van achterstallig onderhoud op wegen in gemeente Weesp.	B2
238	In 2017 en 2018 heeft provincie Noord-Holland aandacht gevraagd voor achterstanden aan het onderhoud van de openbare infrastructuur in onze gemeente, waaronder de wegen (rijbaan, fietspad, trottoir, parkeervak).	B2
239	Als reactie hierop heeft de raad op 11 juli 2018 gesteld dat na een periode van vier jaar er geen achterstallig onderhoud meer mag zijn.	B2
240	Dit om kapitaalvernietiging en onveilige situaties als gevolg van wegschades te voorkomen.	B2
241	Om dit doel te bereiken heeft de raad besloten de benodigde budgetten en een investeringsruimte beschikbaar te stellen en een voorziening groot onderhoud ingesteld.	B2
242	Sinds bovengenoemd besluit heeft u in diverse commissievergaderingen gevraagd naar het wegwerken van achterstallig onderhoud op de wegen.	B2
243	Wij hebben toegezegd u op de hoogte te houden over de voortgang van het onderhoud op specifieke wegen en in te gaan op de aanpak van de losse tegelproblematiek.	B2
244	Op 12 oktober 2020 hebben wij u voor het laatst geïnformeerd over de stand van zaken.	B2
245	Het Actiecentrum Veiligheid en Zorg is één van de 30 Zorg- en Veiligheidshuizen die er in Nederland zijn voor de aanpak van complexe casuïstiek op het snijvlak van veiligheid en zorg en/of sociaal.	C1+
246	Het kan hierbij gaan om (jonge) veelplegers die inbreken of roofovervallen plegen.	C1+
247	Of personen waarbij er signalen van radicalisering zijn.	C1+
248	Voor het aanpakken van deze en andere complexe casuistiek kan men terecht bij het AcVZ Binnen het AcVZ is focus aangebracht en zijn gezamenlijk bestuurlijke keuzes gemaakt voor bepaalde groepen personen, gebieden en thema’s.	C1+
249	Voorbeelden zijn de Top600, Top400, Detentie en Terugkeer, Treiteraanpak en de casuïstiekaanpak Radicalisering.	C1+
250	Ook wordt er vanuit het AcVZ, net als in andere zorg- en veiligheidshuizen in het land, procesregie gevoerd op complexe casuïstiek.	C1+
251	Het AcVZ kent hiervoor een loketfunctie waar professionals van alle convenantpartners terecht kunnen met complexe, vastgelopen casussen op het snijvlak van veiligheid, zorg en/ of sociaal.	C1+
252	Dit onderzoek kent trouwens nog meer interessante bevindingen.	B2+
253	Opmerking vooraf: het onderzoek heeft betrekking op hoger onderwijs.	B2+
254	De bevindingen zijn dus niet zo maar van toepassing op MBO, voortgezet onderwijs en primair onderwijs.	B2+
255	Het Amerikaanse National Bureau of Economic Research concludeert op basis van eigen onderzoek dat studenten in het Corona-voorjaar substantieel slechter scoorden op gestandaardiseerde toetsen dan tijdens eerdere onderwijsperiodes.	B2+
256	Alle demografische groepen hebben te leiden onder de snelle overstap naar ‘remote emergency teaching’.	B2+
257	In ons land schijnen studenten aan universiteiten overigens niet slechter te scoren op toetsen (maar wel minder gelukkig te zijn).	B2+
258	Docenten die studenten leerstof actief laten verwerken, kunnen de negatieve impact verminderen.	B2+
259	Met name interactie tussen studenten, zoals ‘think-pair-share’ of werken aan uitdagende, conceptuele, vragen en problemen in kleine break-out rooms tijdens synchroon online leren, kan de effectiviteit van het onderwijs vergroten.	B2+
260	Het actief werken in kleine groepen bevordert het expliciet opbouwen van banden tussen studenten, hetgeen zeer belangrijk is in een online omgeving.	B2+
261	Als gemeente heeft u belang bij gezonde burgers die aan de slag kunnen.	B2
262	Vanuit de Participatiewet zijn gemeenten verantwoordelijk voor mensen met arbeidsvermogen die ondersteuning nodig hebben, zoals statushouders.	B2
263	Ook vanuit de Wmo en de Wet publieke gezondheid kan de gemeente een stimulerende rol vervullen bij het vergroten van de zelfredzaamheid en vitaliteit van statushouders.	B2
264	Om statushouders zo snel mogelijk mee te kunnen laten doen, is het nodig dat de gemeente de regie neemt en vanaf het begin investeert in activering, participatie, inburgering, taal en gezondheid.	B2
265	In deze handreiking gebruiken we het begrip ‘participatie’ in de breedste zin van het woord.	B2
266	Uit het WRR-rapport Geen tijd te verliezen weten we dat door gelijktijdig te werken aan huisvesting, taalverwerving, opleiding en werk, gemeenten eerder voortgang kunnen boeken bij de integratie van statushouders.	B2
267	Voorheen vonden deze trajecten vaak na elkaar plaats.	B2
268	Bij eerdere vluchtelingen hebben we veel tijd verloren laten gaan, waardoor het te lang duurde voordat ze voet aan de grond kregen op de Nederlandse arbeidsmarkt en actief konden participeren in de samenleving.	B2
269	Elke minuut adem je ongeveer tien keer in en uit.	B2
270	Je ververst daarmee de lucht in je longen.	B2
271	De lucht die je uitademt bevat minder zuurstof en meer koolstofdioxide dan de buitenlucht.	B2
272	"De zuurstof is gebruikt voor de oxidatie van organische stoffen (Kennisbank ""Oogsten van chemische energie"")."	B2
273	Bij die oxidatie ontstaat koolstofdioxide en energie voor alle levensprocessen.	B2
274	Gaswisseling is het verschijnsel waarbij zuurstof en koolstofdioxide door het organisme met de omgeving worden uitgewisseld.	B2
275	Onder ademhaling verstaan we alle mechanismen die nodig zijn voor een doelmatige gaswisseling tussen cellen en omgeving.	B2
276	Om de gassen naar en van de cellen af te voeren is bij meercelligen ook een transport-stelsel ontstaan.	B2
277	Ademhaling en bloedsomloop zijn nauw met elkaar verbonden.	B2
278	Dieren hebben energie nodig om te kunnen leven.	B1
279	De energie halen ze uit hun eten.	B1
280	In alle lichaamscellen vindt verbranding plaats waarbij energie vrij komt.	B1
281	Daarvoor is wel voldoende zuurstof nodig.	B1
282	Dieren nemen zuurstof op met behulp van hun ademhalingsorganen.	B1
283	De kleinste dieren zijn maar één cel groot.	B1
284	Bij deze diertjes gaat heel snel zuurstof naar binnen via het celmembraan.	B1
285	Omdat een ééncellige snel kan uitdrogen leven deze diertjes altijd op vochtige plaatsen.	B1
286	Ze nemen de zuurstof op uit het water.	B1
287	Ze kunnen alleen zuurstof uit het water opnemen als de zuurstofconcentratie in het water hoger is dan de zuurstofconcentratie in hun lichaam.	B1
288	Bekijk het filmpje over pantoffeldiertjes op de website van SchoolTV.	B1
289	De cellen van sponzen en holtedieren liggen dicht bij de buitenkant van hun lichaam.	B1
290	De huid van deze dieren is dun en vochtig.	B1
291	Bij sponzen en holtedieren halen adem door hun huid (huidademhaling).	B1
292	In het filmpje zie je dat de huid van de holtedieren maar uit enkele lagen cellen bestaat.	B1
293	De huid van wormen is dikker dan de huid van sponzen en holtedieren.	B1
294	Toch ademen wormen ook met hun huid.	B1
295	De cellen in je lichaam hebben voor de verbranding van voedingsstoffen zuurstof nodig.	B2+
296	De zuurstof krijg je binnen door in te ademen.	B2+
297	De lucht die je inademt, gaat via de neusholte, keelholte en luchtpijp naar je longen.	B2+
298	De afvalstof koolstofdioxide die bij de verbranding ontstaat, adem je uit.	B2+
299	Neusholte Lucht die door de neus wordt ingeademd stroomt minder snel dan lucht die door de mond gaat.	B2+
300	Vuiltjes in de lucht blijven kleven aan de neusharen en slijmlaag in de neusholte.	B2+
301	Keelholte Achter in de mond vind je de keelholte.	B2+
302	In het strottenhoofd liggen de stembanden.	B2+
303	Het strottenklepje sluit luchtpijp af tijdens het slikken.	B2+
304	Dat voorkomt dat er voedsel in de luchtpijp komt.	B2+
305	De luchtpijp is een stevige buis die bestaat uit kraakbeenringen.	B2+
306	De longen bestaan uit longblaasjes.	B2+
307	Om de longblaasjes lopen bloedvaatjes.	B2+
308	De longblaasjes geven zuurstof af aan de bloedvaatjes en nemen koolstofdioxide op uit het bloed.	B2+
309	De luchtpijp vertakt in de twee bronchiën.	B2+
310	Die zorgen dat de lucht naar de longblaasjes vervoerd kan worden.	B2+
311	De bronchiën vertakken zich in de longen steeds verder en steeds kleiner.	B2+
312	Aan de uiteinden van de allerkleinste takjes zitten de longblaasjes.	B2+
313	Het zijn een soort zakjes waar gaswisseling plaatsvindt.	B2+
314	Aelia Pulcheria (Constantinopel, 19 januari 399 – aldaar, 18 februari 453) was een dochter van de Oost-Romeinse keizer Arcadius en Aelia Eudoxia.	C1
