Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Confidence
29	B1	Frans	Wij zijn een rustig koppel die houdt van muziek, sport en reizen.	Wij zijn een rustig koppel dat houdt van muziek, sporten en reizen.	Wij zijn een rustig koppel dat van muziek, sporten en reizen houdt.	s	f	verb-final	se fv po	4
30	B1	Engels	Als Ik was een fotograf, dan ik niet in een klaslokaal op een universiteit worden zitten.	Als ik was een fotograaf dan ik niet in een klaslokaal op een universiteit zou zitten.	Als ik een fotograaf was dan zou ik niet in een klaslokaal op een universiteit zitten.	s	f	verb-final	se s fv o	3
30	B1	Engels	Als Ik was een fotograf, dan ik niet in een klaslokaal op een universiteit worden zitten.	Als ik was een fotograaf dan ik niet in een klaslokaal op een universiteit zou zitten.	Als ik een fotograaf was dan zou ik niet in een klaslokaal op een universiteit zitten.	m	f	verb-second	m s a a a fv nfv	3
32	A2	Russisch	Ik ben heel blij dat je tijd heeft om te bezoek me.	Ik ben heel blij dat je tijd hebt om te bezoeken me.	Ik ben heel blij dat je tijd hebt om me te bezoeken.	s	ic	post-verbal	se s o fv om te nfv o	2
33	A2	Russisch	We moeten zeker bezoeken het Rubensmuseum, het bekendste museum van de stad.	We moeten zeker bezoeken het Rubensmuseum.	We moeten zeker het Rubensmuseum bezoeken.	m	nf	verb-final	s fv a nfv o	5
34	A2	Spaans	Kinsale heeft enkele parken naast de zee, waar kunnen jouw kinderen zich amuseren.	Kinsale heeft enkele parken naast de zee waar kunnen jouw kinderen zich amuseren.	Kinsale heeft enkele parken naast de zee waar jouw kinderen zich kunnen amuseren.	s	f	verb-final	se fv s m nfv	5
35	A2	Spaans	Ik zou graag samen met jou de dorp willen bezoeken, maar woon ik nu in Leuven.	Ik zou graag samen met jou het dorp willen bezoeken, maar woon ik nu in Leuven.	Ik zou graag samen met jou het dorp willen bezoeken, maar ik woon nu in Leuven.	m	f	verb-second	fv s a a 	5
36	B1	Frans	Wat mij betreft, zou ik helemaal geen brandweerman willen zijn.	Wat mij betreft, zou ik helemaal geen brandweerman willen zijn.	Wat mij betreft, ik zou helemaal geen brandweerman willen zijn.	m	f	verb-second	fv s a a o nfv nfv	4
37	B1	Frans	Zels als ik mijn uiterste best doe, zal ik niet in staat ziijn mijn angst te overwinnen.	Zelfs als ik mijn uiterste best doe, zal ik niet in staat zijn mijn angst te overwinnen.	Zelfs als ik mijn uiterste best doe, zal ik niet in staat zijn mijn angst te overwinnen.	s	0	misc	0	4
39	A2	Turks	Als het eten lekker is, zou ik het graag met anderen mensen ook delen.	Als het eten lekker is, zou ik het graag met anderen mensen ook delen.	Als het eten lekker is, zou ik het ook graag met anderen mensen delen.	m	0	misc	0	1
40	A2	Arabisch	Ik kom als het regent naar de les is.	Ik kom als het regent naar de les.	Als het regent kom ik naar de les.	m	f	verb-second	s fv se s fv a	1
41	B1+	Grieks	Uit van alle voorgestelde jobs, denk ik dat ik een chefkok best zou kunnen worden.	Van alle voorgestelde banen denk ik dat ik een chef-kok het beste zou kunnen worden.	Van alle voorgestelde banen denk ik dat ik het beste een chef-kok zou kunnen worden.	s	0	misc	0	1
44	A2	Turks	De dokter heeft eerst mij onderzocht.	De dokter heeft eerst mij onderzocht.	De dokter heeft mij eerst onderzocht.	m	0	misc	0	4
45	A2	Spaans	Op vrijdag s´morgen kunnen we gaan naar Leuven en bezoeken we het oud stadhuis, er is heel mooi, in de namiddag kunnen we naar zwartehond cafe en eten we hier, dat cafe heeft uitstekende broodjes en desserts.	Vrijdagmorgen kunnen we gaan naar Leuven.	Vrijdagmorgen kunnen we naar Leuven gaan.	m	nf	verb-final	a fv s nfv a	4
47	B1	Frans	Ten eerst, de architectuur is geweldig, met heel veel bezienswaardigheden van de middleeuwen: kerken, bouwen, toren, en het mooie kasteel “het Gravensteen”.	Ten eerste de architectuur is geweldig.	Ten eerste is de architectuur geweldig.	m	f	verb-second	a s fv a	4
48	B1	Frans	Ten tweede, de kunst in Gent is erg ontwikkeld en gevarieerd.	Ten tweede de kunst in Gent is erg ontwikkeld en gevarieerd.	Ten tweede is de kunst in Gent erg ontwikkeld en gevarieerd.	m	f	verb-second	a s a fv a a m a	3
49	B1	Frans	Ten slotte, elke drie jaar organiseert de stad Gent een lichtfestival.	Ten slotte elke drie jaar organiseert de stad Gent een lichtfestival.	Ten slotte organiseert de stad Gent elke drie jaar een lichtfestival.	m	f	verb-second	a a fv s o	4
51	B1	Frans	Ik kom uit de regio van Lyon in Frankrijk, en die stad organiseert ook een lichtfestival elk jaar in december.	Die stad organiseert ook een lichtfestival elk jaar in december.	Die stad organiseert ook elk jaar in december een lichtfestival.	m	0	misc	0	3
52	A2	Frans	Ten tweede de belge bevolking agressiefer dan voor worden ?	Ten tweede, de belgische bevolking agressiever dan voorheen wordt?	Ten tweede, wordt de belgische bevolking agressiever dan voorheen?	p	f	verb-first	s a m a fv	3
53	A2	Frans	Een heel goed punt om de overbevolking te verminderen is de opsluiting voor kleine delinquentie vervangen door weerstraf en zodat we de mensen kunnen beter begeleiden.	Een heel goed punt om de overbevolking te verminderen is het opsluiten van kleine delinquenten te vervangen door werkstraf zodat we de mensen kunnen beter begeleiden.	Een heel goed punt om de overbevolking te verminderen is het opsluiten van kleine delinquenten te vervangen door werkstraf zodat we de mensen beter kunnen begeleiden.	s	f	verb-final	se s o fv a nfv	0
54	A2	Arabisch	Ik ben Bouchra KHAIL, ik vlog de Néderlands cursus niveau 2,  zoals u weet, we mondeling examen op 27 Januari  hebben, maar ik heb mijn vlucht naar Marokko de dezelfde dag, zo i kan dit examen niet afleggen.	Zoals u weet, we een mondeling examen op 27 januari hebben.	Zoals u weet, hebben we een mondeling examen op 27 januari.	m	f	verb-second	s o a fv	4
55	A2	Turks	Paolo spreekt beter Nederlands dan wij.	Paolo spreekt beter Nederlands dan wij.	Paolo spreekt beter Nederlands dan wij.	m	0	misc	0	0
56	A2	Russisch	Wij gaan een mooie wandeling met een gids vanaf 10 uur tot en met 15 uur maken.	We gaan een mooie wandeling met een gids van 10 tot 15 uur maken.	Van 10 tot 15 uur gaan we met een gids een mooie wandeling maken.	m	0	misc	0	4
57	A2	Arabisch	Ik heb jouw advertentie op Samenhuizen web-site gezien, en ik denk dat ik geschikt met jouw beschrijving ben.	Ik heb jouw advertentie op de Samenhuizen website gezien.	Ik heb jouw advertentie op de website Samenhuizen gezien.	m	0	misc	0	4
58	A2	Spaans	Ik werkte voor 20 jaars in Wall Street (New York) maar nu, ik heb een sabbatical en ik studeer een Advanced Master in Economie aan KU Leuven.	Nu ik heb een sabbatical.	Nu heb ik een sabbatical.	m	f	verb-second	a s fv o	5
60	B1+	Frans	Ze volgt lessen om in de informatica zich bij te scholen.	Ze volgt lessen om in de informatica zich verder te scholen.	Ze volgt lessen om zich in de informatica verder te scholen.	s	0	misc	0	4
61	A2	Roemeens	Dus echt een beter milieu begint bij jezelf.	Dus echt een beter milieu begint bij jezelf.	Een beter milieu begint dus echt bij jezelf.	m	f	verb-second	a a s fv a	4
62	B1	Luxemburgs	Ik moet toegeven dat ik dat niet zo goed kan of dat zijn niet mijn sterktes.	Ik moet toegeven dat ik dat niet zo goed kan of dat dat zijn niet mijn sterktes.	Ik moet toegeven dat ik dat niet zo goed kan of dat dat niet mijn sterktes zijn.	s	f	verb-final	se s fv a o	4
66	A2	Turks	ik met mijn man  gingen naar het ziekenhuis.	Ik en mijn man gingen naar het ziekenhuis.	Ik en mijn man gingen naar het ziekenhuis.	m	0	misc	0	3
68	A2	Turks	Als je te pijn heeft; blijf kalm en probeer te ademen maar, ga maar direct naar het ziekenhuis of bel maar de ambulance, denk maar positief en doe niet in paniek alstjebilift.	Bel maar de ambulance.	Bel de ambulance maar.	m	0	misc	0	1
69	A2+	Russisch	Daar kan je ook cafès vinden, maar ik denk dat de cafès op deze straat zijn slechter dan de cafès op Graslei.	Ik denk dat de cafés op deze straat zijn slechter dan de cafés op Graslei.	Ik denk dat de cafés op deze straat slechter zijn dan de cafés op Graslei.	s	f	verb-final	se s a fv a	4
70	A2+	Russisch	In de middag kunnen wij naar Bavet gaan, omdat ik hem is de lekkerste plaats in Gent.	Op de middag kunnen wij naar Bavet gaan, omdat hij is de lekkerste plaats in Gent.	Op de middag kunnen wij naar Bavet gaan, omdat hij de lekkerste plaats in Gent is.	s	f	verb-final	se s fv o a	4
71	A2+	Frans	In mijn vrije tijd, ik speelde graag Lego en bordspelletjes met mijn broers en ouders, ik fietste en ik speelde graag met een bal op het strand.	In mijn vrije tijd ik speelde graag Lego en bordspelletjes met mijn broers en ouders.	In mijn vrije tijd speelde ik graag Lego en bordspelletjes met mijn broers en ouders.	m	f	verb-second	a s fv a o m o a	3
72	A2	Chinees	Ten slotte kan ik er nieuwe vrienden makkelijker mee maken.	Ten slotte kan ik er nieuwe vrienden makkelijker mee maken.	Ten slotte kan ik er makkelijker nieuwe vrienden mee maken.	m	0	misc	0	4
73	A2	Chinees	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin heb ik bijna mijn alle vrienden leren kennen.	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin heb ik bijna al mijn vrienden leren kennen.	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin ik bijna al mijn vrienden heb leren kennen.	s	f	verb-final	se fv s a o nfv nfv	4
74	A2	Chinees	ik vind dat Leuven en Gent zijn comfortable steden, Er sta KU Universiteit in Leuven en  vol cultuur is.	Ik vind dat Leuven en Gent zijn comfortabele steden.	Ik vind dat Leuven en Gent comfortabele steden zijn.	s	f	verb-final	se s fv a o	4
75	A2	Chinees	Gent en Liége is niet druk, vind ik dat rustig en mooi zijn.	Vind ik dat ze rustig en mooi zijn.	Ik vind dat ze rustig en mooi zijn.	m	f	verb-second	fv s	4
76	A2	Chinees	Als jij hout van een mix van cultuur en natuur! We moeten gaan Leuven, Gent en Liége bezoeken.	We moeten gaan Leuven, Gent en Liège bezoeken.	We moeten Leuven, Gent en Liège gaan bezoeken.	m	nf	verb-final	s fv nfv o nfv	4
78	A2	Engels	Omdat ik woon in België, studeer ik Nederlands.	Omdat ik woon in België, studeer ik Nederlands.	Omdat ik in België woon, studeer ik Nederlands.	s	f	verb-final	se s fv a	5
79	A2	Roemeens	De doktor zegt dat ik mij goed verzorgen moet en ik moet veel rusten!	De dokter zegt dat ik goed voor mezelf zorgen moet.	De dokter zegt dat ik goed voor mezelf moet zorgen.	s	nf	verb-final	se s a po nfv fv	3
80	B1+	Spaans	Als ik een tip zou geven naar de mensen die hulp nodig met inburgering hebben , zou ik zeggen dat je mag proberen om andere culturen te begrijpen MAAR altijd over jouw eigene cultuur informeren,helaas dat werkt niet altijd omdat ik veel identiteitcrisis heb gehad maar het is een deel van het proces.	Als ik een tip zou geven naar de mensen die hulp nodig met de inburgering hebben, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	Als ik een tip zou geven naar de mensen die hulp nodig hebben met de inburgering, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	s	pc	post-verbal	se o a pc fv	3
81	A2	Russisch	Ik zal bel je en we maken een afspraak.	Ik zal bellen je en we maken een afspraak.	Ik zal je bellen en we maken een afspraak.	m	nf	verb-final	s fv nfv o	4
82	B2	Arabisch	Eigelijk het heeft ook meer te maken met de oersoonlijkheid en het identiteit van de expat, of hij introvert of sociaal is, of het type dat zichzelf veel vertrouwt.	Eigenlijk het heeft ook meer te maken met de persoonlijkheid en de identiteit van de expat.	Eigenlijk heeft het ook meer te maken met de persoonlijkheid en de identiteit van de expat.	m	f	verb-second	a s fv a a te nfv pc	4
83	B2	Arabisch	Op basis van mijn ervaring het ding dat de grootste rol speelt om bevriend te raken in nederland is de omgeving van het leven.	Op basis van mijn ervaringen kan ik besluiten dat de grootste rol speelt om bevriend te raken met Nederlanders je omgeving.	Op basis van mijn ervaringen kan ik besluiten dat je omgeving de grootste rol speelt om bevriend te raken met Nederlanders.	s	0	misc	0	1
84	B2	Arabisch	hier moeten we niet vergeten, dat iemand de leeftijd van achttien bereikt, wordt hij dan zelfstandig, dus hij moet wel zelf werken en studeren, daadoor zijn er veel mensen die geen tijd hebben.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, wordt hij zelfstandig.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, hij zelfstandig wordt.	s	f	verb-final	se m fv s a	3
85	B2	Chinees	Over de activiteiten die moeten samengespeeld worden zoals tennissen, badminton spelen enzovoort, had ik lastig om partners te vinden, of om met elkaar een juist tijdstip aan te passen.	Bij de activiteiten die moeten samen gespeeld worden zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	Bij de activiteiten die samen moeten worden gespeeld zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	s	f	verb-final	se fv a nfv nfv m	2
86	A2+	Frans	Ik ben Anne-Valentine Rensonnet en ik volg de nederlands cursus van de Instituut voor Levende Talen met de docente Mevrouw Aendekerk.	Ik volg de Nederlands cursus van het Instituut voor Levende Talen.	Ik volg de cursus Nederlands van het Instituut voor Levende Talen.	m	0	misc	0	4
87	A2+	Frans	Maar ik kan niet mijn examen afleggen als ik een andere examen deze dag heb.	Maar ik kan niet mijn examen afleggen als ik die dag al een ander examen heb.	Maar ik kan mijn examen niet afleggen als ik die dag al een ander examen heb.	m	0	misc	0	4
88	B1+	Chinees	Voordat de besmet mensen van bewust waren, misschien hadden ze al andere mensen besmetten.	Voordat de besmette mensen er zich van bewust waren, misschien hadden ze al andere mensen besmet.	Voordat de besmette mensen er zich van bewust waren, hadden ze misschien al andere mensen besmet.	m	f	verb-second	m a fv s a o a	4
90	B1+	Chinees	Ik zou mijzelf de app niet installeren want ik zorg mijn privacy goed.	Ik zou de app niet installeren want ik zorg voor mijn privacy goed.	Ik zou de app niet installeren want ik zorg goed voor mijn privacy.	m	0	misc	0	5
91	A2+	Italiaans	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar lopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die er boos en bang uitzag.	s	f	verb-final	se fv m a p	4
92	A2+	Italiaans	Ze zei dat toen ze bij de kapper was, haar fiets gestolen was.	Ze zei dat toen ze bij de kapper was haar fiets gestolen was.	Ze zei dat haar fiets gestolen was toen ze bij de kapper was.	s	0	misc	0	4
93	A2+	Italiaans	De politievrouw wist wel dat veel dieven van fietsen er in de stad waren en dat was niet de eerste keer ze  iets zoals dat horde.	De politievrouw wist wel dat veel dieven van fietsen er in de stad waren.	De politievrouw wist wel dat er veel dieven van fietsen in de stad waren.	s	0	misc	0	4
94	A2+	Italiaans	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zal uw fiets ook teruggvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zullen uw fiets ook terugvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk zullen we uw fiets ook terugvinden.	m	f	verb-second	a s fv o a nfv	4
95	A2+	Italiaans	Ik denk dat verder in de soap, Bert en Elly samen zal blijven en dat de winkel groter zal worden.	Ik denk dat verder in de soap Bert en Elly samen zullen blijven en de winkel groter zal worden.	Ik denk verder in de soap dat Bert en Elly samen zullen blijven en de winkel groter zal worden.	m	0	misc	0	1
97	A2+	Italiaans	Misschien zal Karel van zijn nieuw baan niet houden en zal hij teruggkomen om deel 11 te presenteren.	Misschien zal Karel van zijn nieuwe baan niet houden en zal hij terugkomen om deel 11 te presenteren.	Misschien zal Karel niet van zijn nieuwe baan houden en zal hij terugkomen om deel 11 te presenteren.	m	0	misc	0	3
98	A2+	Chinees	De liedjes van Poulenc zijn eclectish en fris-huppelend, kristalhelder en razendsnel, daarom ik wil dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom ik wil naar dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom wil ik naar dit concert gaan.	m	f	verb-second	ce s fv a nfv	5
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	a m s a a fv	3
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	ce s fv o	3
100	A2+	Engels	Ten eerste denk ik dat als je de cultuur van een ander land will kennenleren, moet jij de taal begrijpen.	Ten eerste denk ik dat als je de cultuur van een ander land wilt leren kennen moet je de taal begrijpen.	Ten eerste denk ik dat je de taal moet begrijpen als je de cultuur van een ander land wilt leren kennen.	s	f	verb-final	se m fv s o nfv	3
102	A2+	Engels	Verder, als jij met de locale bevolking om in hun eigen taal te spreken probeer, worden ze natuurlijk veel vriendlijker en gemakkelijker.	Als je verder met de lokale bevolking in hun eigen taal te spreken probeert, worden ze natuurlijk veel vriendelijker en gemakkelijker.	Als je verder probeert met de lokale bevolking in hun eigen taal te spreken, worden ze natuurlijk veel vriendelijker en gemakkelijker.	s	ic	post-verbal	se s a po a te nfv fv	2
103	A2+	Engels	Ik geloov dat het heel vriendelijk van Vlamingen om hun taal te aanpassen is.	Ik geloof dat het heel vriendelijk van Vlamingen om hun taal te aan passen is.	Ik geloof dat het heel vriendelijk is van Vlamingen om hun taal aan te passen.	s	ic	post-verbal	se s a a pc om o te p nfv fv	3
105	B1	Italiaans	Aan de andere kant, mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant heeft mijn tweede kind, Sofie, verschillende sporten geprobeerd.	m	f	verb-second	a s fv o nfv	4
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	ic	post-verbal	s fv o te nfv p	4
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	s a fv	4
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	ce o m fv	4
109	A2+	Turks	We zullen samen gaan naar Dinant, daarna zullen we naar de aventure park in Dianant gaan die is het beste park voor kinderen.	We zullen samen gaan naar Dinant.	We zullen samen naar Dinant gaan.	m	nf	verb-final	s fv a nfv a	5
110	A2+	Turks	Ik hoop dat zal je me komen bezoeken!	Ik hoop dat zal je me komen bezoeken!	Ik hoop dat je me zal komen bezoeken!	s	f	verb-final	se fv s o nfv nfv	5
111	B1+	Éwé	Ik vond het heel interessant maar voortdurende mijn universitair cursus heb ik gevoelde een andere roeping dat ik spannender heb gevonden.	Ik vond het heel interessant maar tijdens mijn universitaire cursus heb ik gevoeld een andere roeping die ik spannender heb gevonden.	Ik vond het heel interessant maar tijdens mijn universitaire cursus heb ik een andere roeping gevoeld die ik spannender heb gevonden.	m	nf	verb-final	se fv s nfv o	4
