Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Annotated
80	B1+	Spaans	Als ik een tip zou geven naar de mensen die hulp nodig met inburgering hebben , zou ik zeggen dat je mag proberen om andere culturen te begrijpen MAAR altijd over jouw eigene cultuur informeren,helaas dat werkt niet altijd omdat ik veel identiteitcrisis heb gehad maar het is een deel van het proces.	Als ik een tip zou geven naar de mensen die hulp nodig met de inburgering hebben, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	Als ik een tip zou geven naar de mensen die hulp nodig hebben met de inburgering, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	s	pc	post-verbal	se o a pc fv	human
81	A2	Russisch	Ik zal bel je en we maken een afspraak.	Ik zal bellen je en we maken een afspraak.	Ik zal je bellen en we maken een afspraak.	m	nf	verb-final	s fv nfv o	human
82	B2	Arabisch	Eigelijk het heeft ook meer te maken met de oersoonlijkheid en het identiteit van de expat, of hij introvert of sociaal is, of het type dat zichzelf veel vertrouwt.	Eigenlijk het heeft ook meer te maken met de persoonlijkheid en de identiteit van de expat.	Eigenlijk heeft het ook meer te maken met de persoonlijkheid en de identiteit van de expat.	m	f	verb-second	a s fv a a te nfv pc	human
84	B2	Arabisch	hier moeten we niet vergeten, dat iemand de leeftijd van achttien bereikt, wordt hij dan zelfstandig, dus hij moet wel zelf werken en studeren, daadoor zijn er veel mensen die geen tijd hebben.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, wordt hij zelfstandig.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, hij zelfstandig wordt.	s	f	verb-final	se m fv s a	human
85	B2	Chinees	Over de activiteiten die moeten samengespeeld worden zoals tennissen, badminton spelen enzovoort, had ik lastig om partners te vinden, of om met elkaar een juist tijdstip aan te passen.	Bij de activiteiten die moeten samen gespeeld worden zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	Bij de activiteiten die samen moeten worden gespeeld zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	s	f	verb-final	se fv a nfv nfv m	human
88	B1+	Chinees	Voordat de besmet mensen van bewust waren, misschien hadden ze al andere mensen besmetten.	Voordat de besmette mensen er zich van bewust waren, misschien hadden ze al andere mensen besmet.	Voordat de besmette mensen er zich van bewust waren, hadden ze misschien al andere mensen besmet.	m	f	verb-second	m a fv s a o a	human
91	A2+	Italiaans	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar lopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die er boos en bang uitzag.	s	f	verb-final	se fv m a p	human
94	A2+	Italiaans	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zal uw fiets ook teruggvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zullen uw fiets ook terugvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk zullen we uw fiets ook terugvinden.	m	f	verb-second	a s fv o a nfv	human
98	A2+	Chinees	De liedjes van Poulenc zijn eclectish en fris-huppelend, kristalhelder en razendsnel, daarom ik wil dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom ik wil naar dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom wil ik naar dit concert gaan.	m	f	verb-second	ce s fv a nfv	human
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	a m s a a fv	human
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	ce s fv o	human
100	A2+	Engels	Ten eerste denk ik dat als je de cultuur van een ander land will kennenleren, moet jij de taal begrijpen.	Ten eerste denk ik dat als je de cultuur van een ander land wilt leren kennen moet je de taal begrijpen.	Ten eerste denk ik dat je de taal moet begrijpen als je de cultuur van een ander land wilt leren kennen.	s	f	verb-final	se m fv s o nfv	human
102	A2+	Engels	Verder, als jij met de locale bevolking om in hun eigen taal te spreken probeer, worden ze natuurlijk veel vriendlijker en gemakkelijker.	Als je verder met de lokale bevolking in hun eigen taal te spreken probeert, worden ze natuurlijk veel vriendelijker en gemakkelijker.	Als je verder probeert met de lokale bevolking in hun eigen taal te spreken, worden ze natuurlijk veel vriendelijker en gemakkelijker.	s	ic	post-verbal	se s a po a te nfv fv	human
103	A2+	Engels	Ik geloov dat het heel vriendelijk van Vlamingen om hun taal te aanpassen is.	Ik geloof dat het heel vriendelijk van Vlamingen om hun taal te aan passen is.	Ik geloof dat het heel vriendelijk is van Vlamingen om hun taal aan te passen.	s	ic	post-verbal	se s a a pc om o te p nfv fv	human
105	B1	Italiaans	Aan de andere kant, mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant heeft mijn tweede kind, Sofie, verschillende sporten geprobeerd.	m	f	verb-second	a s fv o nfv	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	ic	post-verbal	s fv o te nfv p	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	s a fv	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	ce o m fv	human
109	A2+	Turks	We zullen samen gaan naar Dinant, daarna zullen we naar de aventure park in Dianant gaan die is het beste park voor kinderen.	We zullen samen gaan naar Dinant.	We zullen samen naar Dinant gaan.	m	nf	verb-final	s fv a nfv a	human
110	A2+	Turks	Ik hoop dat zal je me komen bezoeken!	Ik hoop dat zal je me komen bezoeken!	Ik hoop dat je me zal komen bezoeken!	s	f	verb-final	se fv s o nfv nfv	human
111	B1+	Éwé	Ik vond het heel interessant maar voortdurende mijn universitair cursus heb ik gevoelde een andere roeping dat ik spannender heb gevonden.	Ik vond het heel interessant maar tijdens mijn universitaire cursus heb ik gevoeld een andere roeping die ik spannender heb gevonden.	Ik vond het heel interessant maar tijdens mijn universitaire cursus heb ik een andere roeping gevoeld die ik spannender heb gevonden.	m	nf	verb-final	se fv s nfv o	human
112	B1+	Éwé	Volgens me, de zorg en de attentie we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij de zorg en de attentie die we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij tonen de zorg en de attentie die we aan de zwaksten van onze maatschappij geven onze mensheid aan.	m	f	verb-second	a s m fv o p	human
112	B1+	Éwé	Volgens me, de zorg en de attentie we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij de zorg en de attentie die we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij tonen de zorg en de attentie die we aan de zwaksten van onze maatschappij geven onze mensheid aan.	s	f	verb-final	se s fv po	human
113	B1+	Éwé	In mijn ideaal land, zou niemand eenzaam voelen; en solidariteit moet de basisregel zijn.	In mijn ideale land zou niemand zich eenzam voelen en zou solidariteit moeten de basisregel zijn.	In mijn ideale land zou niemand zich eenzaam voelen en zou solidariteit de basisregel moeten zijn.	m	nf	verb-final	ce fv s nfv o nfv	human
114	B1+	Éwé	Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen.	Dus vind ik dat ik heb genoeg tijd en ben aan het doen wat nuttig is voor mijn leven.	Dus vind ik dat ik genoeg tijd heb en aan het doen ben wat nuttig is voor mijn leven.	s	f	verb-final	se s fv o	human
114	B1+	Éwé	Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen.	Dus vind ik dat ik heb genoeg tijd en ben aan het doen wat nuttig is voor mijn leven.	Dus vind ik dat ik genoeg tijd heb en aan het doen ben wat nuttig is voor mijn leven.	s	f	verb-final	se fv m o	human
116	A2+	Arabisch	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen,  en dan zal ik naar de link gaan en lees de alle info, daarna zal ik een abonnement nemen.	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen, en dan zal ik naar de link gaan en lezen alle info.	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen, en dan zal ik naar de link gaan en alle info lezen.	m	nf	verb-final	a fv s a nfv m nfv o	human
118	B1+	Perzisch	Als je spoor de mensen op, dan waarschuw je met een seintje en daarom zal je niet gaan naar de buurt waar er iemand is geweest die corona heeft.	Als je spoort de mensen op, dan waarschuw je ze met een seintje.	Als je de mensen opspoort, dan waarschuw je ze met een seintje.	s	f	verb-final	se s fv o p	human
119	B1+	Russisch	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken.	Een interview is niet alleen een interessante ervaring, maar ook een moment waarop kan iemand over de afgelopen en toekomstige jaren nadenken.	Een interview is niet alleen een interessante ervaring, maar ook een moment waarop iemand kan nadenken over de afgelopen en toekomstige jaren.	m	pc	post-verbal	fv s pc nfv	human
121	B1+	Russisch	Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort.	Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen.	Deze ontwikkeling zal ook nieuwe mogelijkheden voor de burgers brengen.	m	f	verb-second	a s fv o m nfv	human
122	B1	Roemeens	Ik heb flauw idee over wat gat he gebeuren vandaag in de les.	Ik heb geen flauw idee wat gaat er gebeuren vandaag in de les.	Ik heb geen flauw idee wat er vandaag in de les gaat gebeuren.	s	f	verb-final	se fv m nfv a a	human
122	B1	Roemeens	Ik heb flauw idee over wat gat he gebeuren vandaag in de les.	Ik heb geen flauw idee wat gaat er gebeuren vandaag in de les.	Ik heb geen flauw idee wat er vandaag in de les gaat gebeuren.	s	nf	verb-final	se fv m nfv a a	human
124	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt.	Twee jaar geleden begon ik met Nederlands leren en tot nu toe het nog steeds interessant is.	Twee jaar geleden begon ik met Nederlands leren en tot nu toe is het nog steeds interessant.	m	f	verb-second	a s a a fv	human
127	B1+	Arabisch	In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	In het begin wou ik niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	m	f	verb-second	a s fv a nfv	human
128	B1+	Arabisch	Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen.	Ik vind dat woordenschat studeren essentieel is omdat met een grotere woordenschat kan je betere zinnen formuleren.	Ik vind dat woordenschat studeren essentieel is omdat je met een grotere woordenschat betere zinnen kan formuleren.	s	f	verb-final	se a fv s o nfv	human
129	B1+	Arabisch	Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks.	Bovendien af en toe lees ik artikels in het Nederlands en ik kijk vaak naar Vlaamse reeksen.	Bovendien lees ik af en toe artikels in het Nederlands en kijk ik vaak naar Vlaamse reeksen.	m	f	verb-second	a a fv s o a	human
129	B1+	Arabisch	Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks.	Bovendien af en toe lees ik artikels in het Nederlands en ik kijk vaak naar Vlaamse reeksen.	Bovendien lees ik af en toe artikels in het Nederlands en kijk ik vaak naar Vlaamse reeksen.	m	f	verb-second	ce s fv a po	human
130	B1	Frans	Als ik de leider van de group ben, heb ik aan een trip die we kunnen samen doen gedacht.	Omdat ik de leider van de groep ben, heb ik een trip bedacht die we kunnen samen doen.	Omdat ik de leider van de groep ben, heb ik een trip bedacht die we samen kunnen doen.	s	f	verb-final	se s fv a nfv	human
131	B1	Frans	Ik ben heel blij omdat zullen we de club bezoeken en de spelers ontmoeten.	Ik ben heel blij omdat zullen we de club bezoeken en de spelers zullen ontmoeten.	Ik ben heel blij omdat we de club zullen bezoeken en de spelers zullen ontmoeten.	s	f	verb-final	se fv s o nfv	human
134	B1	Russisch	Ik begrijp heel goed dat u zich zorgen maken dat jou kind niet van houdt sporten.	Ik begrijp heel goed dat u zich zorgen maakt dat uw kind niet van houdt sporten.	Ik begrijp heel goed dat u zich zorgen maakt dat uw kind niet van sporten houdt.	s	f	verb-final	se s a p fv po	human
135	A2	Frans	Ik weet dat de weer is koud.	Ik weet dat het weer is koud.	Ik weet dat het weer koud is.	s	f	verb-final	se s fv a	human
139	A2	Hindi	Ik zie dat Bert uitgenodigd Anna, Paolo en Sam heeft voor eten.	Ik zie dat Bert uitgenodigd Anna, Paolo en Sam heeft voor het eten.	Ik zie dat Bert Anna, Paolo en Sam heeft uitgenodigd voor het eten.	s	nf	verb-final	se s nfv o fv pc	human
140	A2+	Spaans	Ze liever in de winkel werken omdat ze met mensen kun praten.	Ze liever in de winkel werkt omdat ze met mensen kan praten.	Ze werkt liever in de winkel omdat ze met mensen kan praten.	m	f	verb-second	s a a fv 	human
142	A2+	Spaans	Sam heeft de mandarijntjes niet gezien omdat hij heeft vorige week te laat gewerkt en Anna is kwalijk met Sam.	Sam heeft de mandarijntjes niet gezien omdat hij heeft vorige week te laat gewerkt.	Sam heeft de mandarijntjes niet gezien omdat hij vorige week te laat heeft gewerkt.	s	f	verb-final	se s fv a a nfv	human
144	A2	Turks	Soms als ik de betekenis van een woord niet weet dan probeer ik een verbond maken tussen Engels en Nederlands en deze methode soms helpt mij een beetje.	Deze methode soms helpt mij een beetje.	Deze methode helpt mij soms een beetje.	m	f	verb-second	s a fv o a	human
146	A2	Turks	Die dingen die ik vind moeilijk zijn de artikelen en een paar grammatica regels.	De dingen die ik vind moeilijk zijn de lidwoorden en een paar grammaticaregels.	De dingen die ik moeilijk vind zijn de lidwoorden en een paar grammaticaregels.	s	f	verb-final	se s fv a	human
149	A2+	Grieks	Mijn studio is klein maar is er een grote teras.	Mijn studio is klein maar is er een groot terras.	Mijn studio is klein maar er is een groot terras.	m	f	verb-second	ce fv m o	human
151	A2+	Grieks	Als heb ik tijd op weekend ga ik soms naar jogging.	Als heb ik tijd in het weekend, ga ik soms joggen.	Als ik tijd heb in het weekend, ga ik soms joggen.	s	f	verb-final	se fv s o a	human
152	B2	Nepalees	Ik vond het heel interresant om coderen te leren.	Ik vond het heel interessant om coderen te leren.	Ik vond het heel interessant om te leren coderen.	m	ic	post-verbal	s fv o a a om nfv te nfv	human
